ID	PSI	count	GeneID	geneSymbol
chr17:18331731-18331804|+|18332145|18332235	nan	0	ENSG00000186831.11_2	KRT17P2
chr19:58002838-58002965|+|58016024|58016027	1.0	15	ENSG00000268107.6_7	AC003005.1
chr9:37761899-37762114|+|37762539|37762573	0.0490196078431	612	ENSG00000165275.10_3	TRMT10B
chr3:3067785-3067961|+|3072538|3072541	1.0	1	ENSG00000144619.15_4	CNTN4
chr1:177325982-177326201|+|177332569|177332574	nan	0	ENSG00000224968.2_5	LINC01645
chr10:128806995-128807068|+|128810495|128810558	0.255707762557	657	ENSG00000150760.12_3	DOCK1
chr1:104083971-104084097|+|104085917|104085920	0.724014336918	558	ENSG00000185946.16_4	RNPC3
chrX:153048680-153048706|+|153049206|153049209	0.883333333333	60	ENSG00000184343.11_4	SRPK3
chr17:57991995-57992064|+|58003776|58003795	0.124020887728	766	ENSG00000108443.14_4	RPS6KB1
chr19:11143965-11144193|+|11144442|11144447	0.978155339806	412	ENSG00000127616.18_7	SMARCA4
chr21:47337501-47337543|+|47349830|47349833	0.591397849462	93	ENSG00000183570.16_5	PCBP3
chr2:219562185-219562333|+|219562576|219562625	0.972972972973	592	ENSG00000163482.12_5	STK36
chr12:14576842-14578407|+|14587270|14587273	0.834939759036	830	ENSG00000171681.12_7	ATF7IP
chr19:991226-991351|+|991954|991994	1.0	1984	ENSG00000065268.10_3	WDR18
chr15:64419929-64420005|+|64422071|64422114	0.0223880597015	1206	ENSG00000028528.15_5	SNX1
chr12:77208925-77208990|+|77209636|77209677	0.893542757417	573	ENSG00000186908.14_5	ZDHHC17
chr12:100928667-100928801|+|100930284|100930289	nan	0	ENSG00000012504.15_5	NR1H4
chr1:110029628-110029839|+|110030139|110030235	0.452898550725	276	ENSG00000162650.16_3	ATXN7L2
chr17:48613781-48614479|+|48615439|48615480	1.0	7	ENSG00000049283.18_5	EPN3
chr9:2181570-2181676|+|2182140|2182145	1.0	416	ENSG00000080503.24_6	SMARCA2
chr11:73360056-73360132|+|73361576|73361597	0.0	162	ENSG00000021300.14_6	PLEKHB1
chr9:117386629-117386739|+|117389175|117389178	0.120218579235	366	ENSG00000157693.15_5	TMEM268
chr12:110463546-110463628|+|110465509|110465512	0.782805429864	663	ENSG00000076513.16_3	ANKRD13A
chr1:219352488-219352588|+|219352722|219352741	0.978873239437	142	ENSG00000143353.12_3	LYPLAL1
chr3:52432865-52433217|+|52433560|52433636	1.0	64	ENSG00000114841.17_4	DNAH1
chr7:102939889-102939980|+|102940624|102940633	0.0519480519481	693	ENSG00000105819.14_3	PMPCB
chr1:12398287-12398362|+|12401836|12401839	0.684523809524	168	ENSG00000048707.15_6	VPS13D
chr6:83828606-83828706|+|83829466|83829493	0.896396396396	222	ENSG00000083097.14_5	DOP1A
chr6:112480181-112480223|+|112480602|112480668	0.0	6	ENSG00000237234.7_8	Z99289.1
chr15:25362556-25362662|+|25363414|25363417	1.0	28	ENSG00000224078.15_5	SNHG14
chr1:67648518-67648642|+|67666419|67666424	nan	0	ENSG00000162594.15_4	IL23R
chr5:78936927-78937019|+|78938654|78938666	0.680291970803	685	ENSG00000164329.13_4	TENT2
chr6:41085867-41085923|+|41086662|41086692	0.616161616162	99	ENSG00000161912.18_4	ADCY10P1
chr14:21544518-21544615|+|21544694|21544721	0.245283018868	106	ENSG00000165801.10_4	ARHGEF40
chr2:9616115-9616168|+|9618350|9618382	1.0	546	ENSG00000134330.18_4	IAH1
chr6:7393331-7393536|+|7395253|7395285	0.101	2000	ENSG00000124784.9_3	RIOK1
chrX:47062939-47063095|+|47065346|47065476	0.980412566238	10568	ENSG00000130985.17_6	UBA1
chr19:33464089-33464208|+|33464331|33464389	0.896713615023	213	ENSG00000131944.9_4	FAAP24
chr12:54911589-54911722|+|54912379|54912434	0.0	6	ENSG00000123338.13_4	NCKAP1L
chr21:47545179-47545225|+|47545330|47545378	0.0	338	ENSG00000142173.15_4	COL6A2
chr15:99467753-99467913|+|99472786|99472789	0.672064777328	741	ENSG00000140443.15_6	IGF1R
chr2:71838374-71838476|+|71838594|71838656	1.0	11	ENSG00000135636.14_4	DYSF
chr20:35927165-35927282|+|35929573|35929610	0.0	615	ENSG00000101363.12_2	MANBAL
chr12:31255869-31255954|+|31256250|31256255	0.944937833037	1126	ENSG00000013573.17_5	DDX11
chr4:27019332-27019606|+|27021021|27022622	0.833333333333	96	ENSG00000109689.16_5	STIM2
chr18:23724522-23724649|+|23731803|23731821	nan	0	ENSG00000154611.14_2	PSMA8
chr1:35859195-35859340|+|35862152|35862155	0.979626485569	1178	ENSG00000146463.11_3	ZMYM4
chr2:204260378-204260503|+|204261507|204261606	0.961538461538	52	ENSG00000138443.16_5	ABI2
chr5:52360741-52360945|+|52361629|52361670	0.0	146	ENSG00000164171.11_3	ITGA2
chr21:43862561-43862706|+|43863263|43863421	nan	0	ENSG00000160185.15_3	UBASH3A
chr7:142564235-142564360|+|142564660|142564695	1.0	11	ENSG00000106123.12_3	EPHB6
chr16:2213883-2214002|+|2215857|2215879	0.0825163398693	1224	ENSG00000131653.13_5	TRAF7
chr16:53337631-53338537|+|53340145|53340148	0.309523809524	378	ENSG00000177200.17_5	CHD9
chr2:232663568-232663674|+|232665849|232665864	1.0	504	ENSG00000144524.17_2	COPS7B
chr3:6752139-6752230|+|6759255|6759259	nan	0	ENSG00000189229.11_7	AC069277.1
chr9:40311134-40311374|+|40322666|40322667	0.166666666667	24	ENSG00000185020.5	RP11-111G23.1
chr3:75486400-75486426|+|75488904|75488935	0.254545454545	55	ENSG00000272690.6_6	LINC02018
chr10:127417926-127418048|+|127418840|127418856	0.0157657657658	888	ENSG00000107938.18_4	EDRF1
chr19:1057312-1057428|+|1057913|1057967	0.958762886598	194	ENSG00000064687.12_2	ABCA7
chr3:101446226-101446385|+|101447657|101447679	0.0492170022371	447	ENSG00000182504.11_4	CEP97
chr18:53805832-53805946|+|53807018|53807072	1.0	1	ENSG00000267732.2_6	AC006305.3
chr16:2028149-2028221|+|2028313|2028315	0.978571428571	1260	ENSG00000183751.14_5	TBL3
chr1:119925537-119925689|+|119927398|119927473	1.0	6	ENSG00000116882.14_4	HAO2
chr8:121473400-121473495|+|121475926|121475931	0.253164556962	474	ENSG00000172167.8_4	MTBP
chr19:11238683-11238761|+|11240126|11240188	0.0717703349282	836	ENSG00000130164.13_7	LDLR
chr11:76893468-76893645|+|76894103|76894112	0.0	7	ENSG00000137474.22_5	MYO7A
chr14:23738132-23738172|+|23739071|23739096	0.945945945946	37	ENSG00000215277.8_6	RNF212B
chr1:67995335-67995432|+|67995911|67995997	0.0	17	ENSG00000235200.3_5	LINC01702
chr20:44466906-44466999|+|44468960|44469086	0.678571428571	28	ENSG00000124104.19_3	SNX21
chr16:70346511-70346560|+|70348707|70348804	0.0164203612479	609	ENSG00000157349.16_5	DDX19B
chr17:7259347-7259368|+|7259490|7259514	0.0	1	ENSG00000182896.12_4	TMEM95
chr10:114045828-114045971|+|114046046|114046076	nan	0	ENSG00000119913.6_4	TECTB
chr5:115341608-115341664|+|115346211|115346437	0.5	4	ENSG00000172901.20_5	LVRN
chr3:56627971-56628056|+|56647616|56647638	0.958986731001	829	ENSG00000180376.16_4	CCDC66
chr15:91419484-91419583|+|91419691|91419697	1.0	794	ENSG00000140564.12_4	FURIN
chr7:98507678-98508042|+|98508132|98508135	0.802687411598	1414	ENSG00000196367.13_4	TRRAP
chr19:41105102-41105161|+|41105307|41105326	0.0987951807229	415	ENSG00000090006.17_4	LTBP4
chr5:157159875-157160052|+|157161583|157161678	0.576	500	ENSG00000113272.14_3	THG1L
chr2:39107319-39107370|+|39107722|39107740	0.0049850448654	1003	ENSG00000188010.14_5	MORN2
chr15:97972278-97972434|+|97972958|97972999	0.736842105263	19	ENSG00000259485.2_6	LINC02253
chr14:66957738-66957822|+|66958324|66958343	0.142857142857	7	ENSG00000196553.15_7	CCDC196
chr14:31353758-31353862|+|31354115|31354190	0.115646258503	147	ENSG00000100473.18_5	COCH
chr22:34142401-34142444|+|34143612|34143656	0.204545454545	44	ENSG00000224973.6_5	LARGE-AS1
chr9:33541144-33541225|+|33543179|33543182	0.912663755459	458	ENSG00000230453.9_2	ANKRD18B
chrX:13769367-13769487|+|13770822|13771486	0.102083333333	480	ENSG00000046651.15_5	OFD1
chr15:40750649-40752095|+|40754110|40754113	0.728723404255	564	ENSG00000140320.12_5	BAHD1
chr5:122924120-122924205|+|122926103|122926106	0.444003964321	1009	ENSG00000151292.17_4	CSNK1G3
chr1:210329065-210329255|+|210332744|210332765	0.0	27	ENSG00000143469.19_6	SYT14
chr1:19651126-19651256|+|19651988|19652019	0.918739635158	603	ENSG00000040487.13_4	PQLC2
chr11:93122185-93122291|+|93127622|93127624	nan	0	ENSG00000165325.13_4	DEUP1
chr22:26228883-26228964|+|26231259|26231262	nan	0	ENSG00000133454.15_2	MYO18B
chr19:42085622-42085981|+|42090699|42090702	nan	0	ENSG00000007129.18_5	CEACAM21
chr22:39907853-39908031|+|39908236|39908322	0.646261298274	2434	ENSG00000100335.15_5	MIEF1
chr3:49719978-49720169|+|49720260|49720275	0.225574712644	1392	ENSG00000164062.13_4	APEH
chr16:70504873-70504975|+|70505084|70505100	0.931623931624	117	ENSG00000157353.17_4	FCSK
chr15:91477206-91477373|+|91477568|91477664	1.0	17	ENSG00000140553.17_3	UNC45A
chr16:67006258-67006408|+|67006570|67006579	0.928571428571	182	ENSG00000172828.13_5	CES3
chr6:33380024-33380199|+|33380284|33380292	0.978056426332	319	ENSG00000112511.17_2	PHF1
chr4:88053422-88053560|+|88055622|88055625	0.789115646259	441	ENSG00000172493.20_3	AFF1
chr1:27674457-27674503|+|27675570|27675606	0.852941176471	34	ENSG00000142765.18_5	SYTL1
chr3:25622036-25622213|+|25634993|25635131	1.0	270	ENSG00000077092.19_5	RARB
chr1:247933470-247933556|+|247938024|247938536	0.0	10	ENSG00000228336.2_3	OR9H1P
chr5:137241894-137242123|+|137243430|137243496	1.0	43	ENSG00000078795.16_4	PKD2L2
chr11:45948261-45948422|+|45948865|45948995	0.915254237288	236	ENSG00000165905.18_6	LARGE2
chrX:133527938-133527982|+|133547517|133547520	0.265434380776	2705	ENSG00000156531.16_3	PHF6
chr2:242681849-242681989|+|242683036|242683053	0.84064665127	433	ENSG00000180902.18_5	D2HGDH
chr9:131719230-131719311|+|131720288|131720292	1.0	2738	ENSG00000095319.14_4	NUP188
chr3:127323450-127323626|+|127323719|127323738	0.0705214806809	3701	ENSG00000073111.14_5	MCM2
chr9:108360366-108360464|+|108360786|108360911	0.94	50	ENSG00000106692.14_5	FKTN
chr19:37746800-37746884|+|37747089|37747300	0.630434782609	46	ENSG00000226686.8_5	LINC01535
chr1:32625000-32625132|+|32626215|32626219	0.9795221843	2051	ENSG00000025800.14_4	KPNA6
chr11:121030843-121031130|+|121032783|121032798	0.631578947368	19	ENSG00000109927.10_6	TECTA
chr15:51233638-51233761|+|51233862|51233894	1.0	297	ENSG00000081014.11_4	AP4E1
chr6:31727866-31727993|+|31728466|31728564	0.974452554745	274	ENSG00000204410.15_5	MSH5
chr1:36550763-36550889|+|36551305|36551436	0.75	24	ENSG00000092850.12_4	TEKT2
chr11:5631374-5631475|+|5631634|5631764	0.025	80	ENSG00000121236.21_5	TRIM6
chr22:39385461-39385615|+|39387336|39387411	1.0	139	ENSG00000179750.16_4	APOBEC3B
chr16:67689933-67689970|+|67690096|67690130	0.560538116592	223	ENSG00000159753.14_6	CARMIL2
