ID	PSI	count	GeneID	geneSymbol
chr12:42836442-42836543|+|42839774|42839792	0.653481012658	632	ENSG00000134283.17_4	PPHLN1
chr14:100841619-100841684|-|100840516|100840581	nan	0	ENSG00000140105.18_5	WARS
chr19:1615684-1615820|-|1612429|1612432	1.0	412	ENSG00000071564.16_7	TCF3
chr17:7482955-7483044|+|7483127|7483166	nan	0	ENSG00000129226.14_4	CD68
chr22:26908064-26908141|-|26907119|26907283	1.0	5	ENSG00000100109.17_4	TFIP11
chr10:26998566-26998697|+|27009063|27009146	0.118644067797	944	ENSG00000148459.16_4	PDSS1
chr7:107302468-107302510|-|107302203|107302267	1.0	34	ENSG00000233705.7_6	SLC26A4-AS1
chr7:25697579-25697713|-|25695508|25695851	nan	0	ENSG00000223561.7_8	AC005165.1
chr3:53920877-53920961|-|53919931|53919939	1.0	424	ENSG00000113811.11_5	SELENOK
chr12:2757640-2757673|+|2760739|2760805	0.0	32	ENSG00000151067.21_4	CACNA1C
chr1:219352488-219352588|+|219352722|219352741	0.978873239437	142	ENSG00000143353.12_3	LYPLAL1
chr2:242097221-242097277|+|242097880|242097898	0.0082482325216	2546	ENSG00000115685.15_4	PPP1R7
chr12:53819238-53819271|+|53819469|53819472	0.666666666667	6	ENSG00000135409.11_5	AMHR2
chr1:153925280-153925310|-|153925111|153925126	1.0	912	ENSG00000160741.17_4	CRTC2
chr5:78936927-78937019|+|78938654|78938666	0.680291970803	685	ENSG00000164329.13_4	TENT2
chr17:18513356-18513605|-|18511280|18511283	nan	0	ENSG00000154874.15_3	CCDC144B
chr7:943762-943909|-|940250|940253	1.0	9	ENSG00000105963.15_7	ADAP1
chr9:130947825-130948055|-|130943078|130943093	1.0	569	ENSG00000148337.21_6	CIZ1
chr8:47757650-47757703|+|47759597|47759686	nan	0	ENSG00000253314.7_7	LINC00293
chr17:19645316-19645525|-|19644523|19644544	1.0	27	ENSG00000108602.18_4	ALDH3A1
chr22:29668368-29668420|+|29669726|29669729	0.0574340610151	14521	ENSG00000182944.17_4	EWSR1
chr10:13158266-13158340|+|13160887|13160905	0.911877394636	261	ENSG00000123240.17_6	OPTN
chr3:9854931-9855029|+|9859328|9859373	1.0	107	ENSG00000214021.16_5	TTLL3
chr4:145573756-145573949|+|145579941|145580013	0.90350877193	114	ENSG00000164161.10_3	HHIP
chrX:48754041-48754141|-|48752737|48753255	1.0	36	ENSG00000126768.12_2	TIMM17B
chr19:5951403-5951607|-|5950883|5950886	1.0	82	ENSG00000031823.14_4	RANBP3
chr17:673660-673747|-|673397|673464	1.0	1813	ENSG00000167699.13_3	GLOD4
