ID	PSI	count	GeneID	geneSymbol
chr17:62082611-62082683|-|62082466|62082733	1.0	13	ENSG00000108622.11_4	ICAM2
chrY:59354816-59354984|+|59354669|59355130	0.647058823529	68	ENSG00000182484.15_3_PAR_Y	WASH6P
chr1:46088506-46088626|-|46088422|46089324	0.111111111111	36	ENSG00000159588.15_4	CCDC17
chr7:100283702-100283802|-|100283596|100284056	0.131360946746	845	ENSG00000146830.10_3	GIGYF1
chr11:63713407-63714196|+|63713311|63714475	0.989010989011	182	ENSG00000110583.13_4	NAA40
chr10:104156246-104156481|+|104156205|104156580	0.0159090909091	440	ENSG00000077150.20_5	NFKB2
chr16:68847398-68847402|+|68847215|68847465	nan	0	ENSG00000039068.19_6	CDH1
chr6:35437062-35437157|+|35436723|35437306	0.815662120546	2273	ENSG00000198755.11_3	RPL10A
chr6:44147367-44147688|+|44147355|44147900	nan	0	ENSG00000137225.13_3	CAPN11
chr11:82984907-82984993|-|82984835|82985035	0.0263157894737	836	ENSG00000137500.9_4	CCDC90B
chr9:1051661-1052129|+|1051613|1052138	nan	0	ENSG00000173253.15_4	DMRT2
chr11:63992442-63992970|-|63992272|63993052	0.227557411273	479	ENSG00000149743.14_4	TRPT1
chr6:32002374-32002636|+|32002290|32002769	0.545454545455	11	ENSG00000224389.9_4	C4B
chr1:155186412-155186647|-|155186174|155186820	0.318181818182	88	ENSG00000160766.14_2	GBAP1
chr13:113974785-113975718|+|113974659|113975785	0.0286259541985	1572	ENSG00000185896.11_3	LAMP1
chr21:42793798-42793901|+|42793764|42794022	0.0	40	ENSG00000157601.14_4	MX1
chr19:39367130-39367332|-|39366970|39367421	0.5	6	ENSG00000187994.14_6	RINL
chr17:8132524-8132619|-|8132459|8132764	0.161849710983	173	ENSG00000178971.16_6	CTC1
chr12:56500879-56500970|+|56500773|56501040	0.0128394022311	14253	ENSG00000170515.14_5	PA2G4
chr7:128587110-128587283|+|128587076|128587589	0.5	14	ENSG00000128604.20_5	IRF5
chr20:33589152-33589233|+|33589047|33589329	0.0	15	ENSG00000078814.15_4	MYH7B
chr8:116616277-116616877|-|116616099|116617229	1.0	335	ENSG00000104447.12_3	TRPS1
chr20:10393348-10394443|-|10393177|10394579	0.597972972973	888	ENSG00000125863.20_4	MKKS
chr3:123675274-123675586|-|123675201|123675642	0.5	1154	ENSG00000175455.15_6	CCDC14
chr3:20387274-20387516|+|20387151|20387558	0.777777777778	9	ENSG00000231304.2_6	SGO1-AS1
chr9:135772732-135772809|-|135772570|135772997	0.0251141552511	438	ENSG00000165699.14_6	TSC1
chr12:56814471-56814596|-|56814352|56814665	0.0330679730557	1633	ENSG00000111602.12_3	TIMELESS
chrX:73164300-73164418|+|73164173|73164497	0.0924369747899	2380	ENSG00000225470.8_5	JPX
chr8:121282339-121282344|+|121282273|121282413	0.80487804878	82	ENSG00000187955.12_4	COL14A1
chr11:27680132-27680366|-|27676439|27681205	nan	0	ENSG00000176697.19_5	BDNF
chr19:36496339-36497324|-|36496234|36497573	1.0	15	ENSG00000181392.17_7	SYNE4
chr17:65733808-65733962|+|65733623|65734088	0.0322493953238	3721	ENSG00000130935.10_4	NOL11
chr4:155533353-155533542|-|155533169|155533587	nan	0	ENSG00000171557.16_4	FGG
chr2:131103058-131103139|+|131102948|131103272	0.0751622822002	2927	ENSG00000136718.9_5	IMP4
chr8:59512580-59512671|-|59512528|59512737	1.0	56	ENSG00000035681.9_5	NSMAF
chr8:145736105-145736176|+|145735980|145736286	0.269230769231	910	ENSG00000167700.9_3	MFSD3
chr6:134212948-134214292|+|134212850|134216691	0.0	28	ENSG00000118526.6_2	TCF21
chr5:139918668-139921756|+|139918503|139921866	0.162162162162	518	ENSG00000254996.5_4	ANKHD1-EIF4EBP3
chr2:241535569-241535735|+|241535350|241535938	0.882716049383	162	ENSG00000142330.20_4	CAPN10
chr1:161089178-161089282|+|161088923|161089402	0.888888888889	117	ENSG00000158793.14_4	NIT1
chr12:121615015-121615099|+|121614949|121615249	0.0	13	ENSG00000089041.17_4	P2RX7
chr1:2977168-2977670|-|2977064|2977895	0.0	4	ENSG00000177133.11_6	PRDM16-DT
chr20:62572396-62572462|-|62572302|62572561	0.129846708747	1109	ENSG00000198276.16_4	UCKL1
chr17:43319257-43319446|+|43319213|43319513	0.75	36	ENSG00000184922.14_6	FMNL1
chrX:69670155-69670488|+|69670018|69670633	0.0	4	ENSG00000082458.12_4	DLG3
chr2:85663717-85663933|+|85663588|85664152	nan	0	ENSG00000152292.17_6	SH2D6
chr13:101287190-101287277|-|101287058|101287449	0.0176991150442	339	ENSG00000125247.15_3	TMTC4
chr15:42111577-42111792|+|42111443|42111848	0.127071823204	181	ENSG00000137802.14_5	MAPKBP1
chr11:291113-291975|+|290677|292095	0.4375	128	ENSG00000142102.15_8	PGGHG
chr9:134404425-134404514|-|134404330|134404657	0.0806988352745	1202	ENSG00000130717.13_3	UCK1
chr7:142962185-142962353|+|142962084|142962389	0.199232081911	2344	ENSG00000197448.14_3	GSTK1
chr4:74964639-74964737|-|74964515|74964912	0.0	13	ENSG00000081041.9_3	CXCL2
chr1:155145104-155145213|-|155145040|155145368	0.029719881576	8782	ENSG00000163463.11_3	KRTCAP2
chr7:134102588-134102723|-|134102043|134102971	0.838709677419	31	ENSG00000273297.2_7	AC009275.1
