ID	PSI	count	GeneID	geneSymbol
chr2:98287656-98287769:98315488-98315599|+|98286297|98292307	nan	0	ENSG00000228486.10_7	C2orf92
chr11:47194976-47195033:47196565-47196649|-|47193884|47195309	0.0	1170	ENSG00000149182.15_4	ARFGAP2
chr11:8860856-8860897:8892500-8892635|-|8853235|8878889	nan	0	ENSG00000166444.19_6	ST5
chr13:106370823-106370908:106382663-106382807|+|106359978|106370996	nan	0	ENSG00000226620.8_7	LINC00343
chr18:12546672-12546903:12635060-12635095|-|12535600|12588374	0.0	10	ENSG00000134278.15_3	SPIRE1
chr3:53796024-53796108:53806859-53806925|+|53787709|53804450	1.0	8	ENSG00000157388.18_7	CACNA1D
chr9:147900-148040:151304-151427|-|146158|152033	1.0	24	ENSG00000172785.18_3	CBWD1
chr17:76623999-76624117:76624399-76624520|-|76620397|76626113	0.0	20	ENSG00000267123.7_6	SCAT1
chr3:107572719-107572901:107573976-107574076|-|107567965|107573500	nan	0	ENSG00000241469.9_7	LINC00635
chr22:35719488-35719614:35719760-35719907|+|35719170|35719615	nan	0	ENSG00000100284.21_6	TOM1
chr12:15837130-15837236:15866199-15866259|-|15835906|15942094	0.941176470588	34	ENSG00000151491.14_7	EPS8
chr12:74733444-74733575:74795783-74795917|-|74715474|74771342	nan	0	ENSG00000251138.7_8	AC090015.1
chr6:125004016-125004168:125107605-125107676|-|124969802|125065541	0.0	1	ENSG00000236548.2_6	RNF217-AS1
chr7:141635613-141635750:141645140-141645200|-|141631626|141643695	0.0	1	ENSG00000258227.7_4	CLEC5A
chr8:47765728-47765991:47775959-47776100|+|47762365|47766091	1.0	2	ENSG00000253314.7_7	LINC00293
chr9:134379575-134379727:134381500-134381607|+|134378460|134381789	0.129979035639	477	ENSG00000130714.16_4	POMT1
chr14:88491750-88491825:88511029-88511192|+|88491013|88545447	nan	0	ENSG00000258867.6_6	LINC01146
chr9:35841130-35841264:35845971-35846065|+|35835438|35842388	nan	0	ENSG00000137103.20_6	TMEM8B
chr12:57682639-57682693:57689181-57689290|-|57677839|57682791	0.0	25	ENSG00000179912.20_6	R3HDM2
chr16:89607351-89607385:89611055-89611180|+|89599044|89607560	1.0	112	ENSG00000197912.15_6	SPG7
chr9:92751012-92751077:92768995-92769070|+|92749730|92762922	nan	0	ENSG00000237626.2_7	AL161629.1
chr7:140051072-140051251:140055467-140055564|-|140048567|140051861	0.0	842	ENSG00000157800.18_5	SLC37A3
chr7:140043211-140043363:140048425-140048567|-|140037149|140045668	nan	0	ENSG00000157800.18_5	SLC37A3
chr19:37815697-37815838:37838091-37838218|+|37815167|37816055	1.0	2	ENSG00000181666.18_6	ZNF875
chr10:78868043-78868135:78868238-78868330|-|78850268|78869930	1.0	3	ENSG00000156113.23_6	KCNMA1
chr1:32119040-32119175:32122497-32122662|+|32117589|32121552	nan	0	ENSG00000235790.7_7	AC114488.2
chr7:23724117-23724291:23728887-23729078|+|23719902|23727846	1.0	4	ENSG00000188732.11_3	FAM221A
chr15:56452913-56452945:56471467-56471501|-|56436681|56471256	0.0	42	ENSG00000181827.14_6	RFX7
chr14:88491750-88491825:88510958-88511192|+|88491013|88545447	nan	0	ENSG00000258867.6_6	LINC01146
chr7:124835001-124835138:125043557-125043718|+|124826546|125071402	nan	0	ENSG00000224897.8_8	POT1-AS1
chr5:110710547-110710610:110730407-110730480|+|110679800|110712557	1.0	115	ENSG00000152495.11_3	CAMK4
chr16:31499942-31500093:31500443-31500659|+|31499811|31500200	nan	0	ENSG00000140675.13_3	SLC5A2
chr7:30624038-30624069:30624326-30624424|-|30618930|30624945	1.0	57	ENSG00000196295.12_8	GARS-DT
chr3:37862504-37862591:37876169-37876258|-|37795543|37903191	0.4	5	ENSG00000235257.9_8	ITGA9-AS1
chr1:150048993-150049062:150049746-150049857|+|150048390|150049171	1.0	746	ENSG00000136631.15_7	VPS45
chr20:34700347-34700402:34701614-34701721|+|34680735|34761685	0.0	11	ENSG00000088367.22_6	EPB41L1
chr2:171200681-171200808:171200850-171200891|-|171200166|171201308	0.0	11	ENSG00000231898.9_6	MYO3B-AS1
chr8:77746356-77746670:77761230-77761364|+|77745642|77754890	1.0	51	ENSG00000091656.18_7	ZFHX4
chr12:124091978-124092070:124093226-124093376|+|124090706|124092150	1.0	121	ENSG00000111364.16_3	DDX55
chr9:34647488-34647564:34647828-34647958|+|34647255|34647653	1.0	277	ENSG00000213930.11_5	GALT
chr17:37948925-37949186:37985639-37985741|-|37944627|37988350	nan	0	ENSG00000161405.17_3	IKZF3
chr15:64658184-64658274:64668941-64669104|-|64592922|64673156	0.803571428571	56	ENSG00000259316.11_8	AC087632.1
chr5:125920054-125920187:125929042-125929096|-|125919704|125928355	0.0	21	ENSG00000164904.18_5	ALDH7A1
chr12:10544433-10544490:10560234-10560388|-|10541474|10546408	0.0	10	ENSG00000255819.7_4	KLRC4-KLRK1
chr16:89183397-89183494:89187208-89187321|+|89180895|89183628	1.0	16	ENSG00000176715.16_6	ACSF3
chr17:35742946-35743063:35746180-35746297|+|35736320|35745604	1.0	12	ENSG00000278505.4_3	C17orf78
chr1:151060945-151060993:151062881-151063049|+|151060773|151065667	0.0361757105943	387	ENSG00000143458.12_3	GABPB2
chr1:214089277-214089442:214094815-214094923|-|214068861|214139413	nan	0	ENSG00000230461.9_7	PROX1-AS1
chr14:101302075-101302216:101302503-101302637|+|101297871|101302378	nan	0	ENSG00000214548.18_7	MEG3
chr14:101297352-101297431:101297757-101297871|+|101296086|101302072	nan	0	ENSG00000214548.18_7	MEG3
chr7:112617198-112617254:112626590-112626719|-|112596766|112635622	nan	0	ENSG00000234520.6_6	AC018464.1
chr17:18770569-18770647:18781010-18781183|+|18769265|18775895	1.0	44	ENSG00000141127.15_5	PRPSAP2
chr22:22377691-22377828:22380619-22380725|-|22349829|22379570	nan	0	ENSG00000197549.9_4	PRAMENP
chr12:80752639-80752680:80761340-80761519|+|80752555|80760353	nan	0	ENSG00000165899.11_5	OTOGL
chr4:56246962-56247046:56249931-56250029|-|56244003|56248673	nan	0	ENSG00000249700.9_5	SRD5A3-AS1
chr3:142742816-142742860:142745990-142746095|+|142741906|142743325	1.0	836	ENSG00000163714.17_6	U2SURP
chr11:89155069-89155150:89223625-89223721|-|89106660|89165951	nan	0	ENSG00000086991.13_3	NOX4
chr17:58151106-58151247:58153490-58153598|-|58150640|58153065	nan	0	ENSG00000068097.14_4	HEATR6
chr8:11715366-11715449:11724762-11724900|-|11710988|11721884	nan	0	ENSG00000164733.21_4	CTSB
chr2:20990014-20990158:21001051-21001225|-|20974739|21022796	0.173913043478	23	ENSG00000118961.15_4	LDAH
chr10:99150495-99150601:99155974-99156058|-|99150296|99153440	0.0	2108	ENSG00000052749.13_6	RRP12
chr13:103297258-103297359:103299556-103299694|+|103297023|103298643	1.0	724	ENSG00000134900.12_5	TPP2
chr2:70280862-70281126:70312678-70312756|-|70278437|70282787	0.0	2	ENSG00000179818.14_4	PCBP1-AS1
chr20:33065576-33065665:33068403-33068537|+|33059320|33067499	nan	0	ENSG00000078747.15_4	ITCH
chr13:73428194-73428293:73482668-73482819|+|73409506|73467921	1.0	879	ENSG00000083535.16_4	PIBF1
chr18:41871664-41871752:41906211-41906447|-|41861198|41905116	nan	0	ENSG00000267337.2_6	LINC01478
chr2:239096771-239096898:239102915-239102972|-|239092754|239098493	0.0	33	ENSG00000132323.9_3	ILKAP
chr6:147232687-147232799:147395940-147395983|-|147181879|147322576	nan	0	ENSG00000233452.7_7	STXBP5-AS1
chr2:170554402-170554492:170591522-170592737|+|170554041|170597894	0.175438596491	114	ENSG00000213160.10_6	KLHL23
chr4:114468799-114468872:114469812-114469885|-|114458599|114473186	0.964509394572	479	ENSG00000145349.17_6	CAMK2D
chrX:1419383-1419519:1422815-1422912|+|1414349|1424338	nan	0	ENSG00000198223.16_4	CSF2RA
chr1:71664549-71664674:71702812-71702878|+|71650254|71867405	nan	0	ENSG00000229956.11_7	ZRANB2-AS2
chr2:239096771-239096898:239102915-239102972|-|239092754|239098499	nan	0	ENSG00000132323.9_3	ILKAP
chr8:30562163-30562381:30564506-30564621|-|30560757|30565588	0.485294117647	68	ENSG00000104687.14_5	GSR
chr11:108277822-108277876:108332205-108332295|-|108277690|108302472	0.0	19	ENSG00000166323.13_4	C11orf65
chr12:77162852-77162981:77199096-77199219|+|77158109|77191213	1.0	31	ENSG00000186908.14_5	ZDHHC17
chr17:61800657-61800686:61805693-61805773|-|61790887|61803997	nan	0	ENSG00000266173.7_6	STRADA
chr5:92831762-92831809:92870890-92870949|-|92774447|92889466	1.0	3	ENSG00000237187.9_6	NR2F1-AS1
chr12:19443610-19443730:19467747-19467828|+|19440490|19444577	1.0	120	ENSG00000052126.14_5	PLEKHA5
chr5:171341346-171341409:171384600-171384702|-|171337801|171423893	0.0	143	ENSG00000072803.17_3	FBXW11
chr2:152725690-152725707:152728930-152729007|-|152717334|152727044	0.0	6	ENSG00000182389.19_7	CACNB4
chr16:20334702-20334711:20337659-20337789|-|20334301|20335137	nan	0	ENSG00000169347.16_5	GP2
chr8:130382552-130382623:130400290-130400364|-|130365226|130411759	nan	0	ENSG00000229140.10_6	CCDC26
chr13:106371395-106371455:106382175-106382308|+|106359978|106380938	nan	0	ENSG00000226620.8_7	LINC00343
chr19:32432526-32432568:32433215-32433353|-|32428207|32435280	0.0	9	ENSG00000267489.5_7	LINC01837
chr11:25788758-25788835:25799240-25799338|+|25762107|25792017	nan	0	ENSG00000254456.6_6	AC090592.1
chr9:32984628-32984855:32985968-32986028|-|32974559|32987541	0.453125	64	ENSG00000137074.18_4	APTX
chr12:51445874-51446029:51449926-51450028|+|51442968|51447560	1.0	14	ENSG00000050426.16_7	LETMD1
chr17:15880892-15881014:15881357-15881477|-|15880406|15881113	0.0	31	ENSG00000214941.8_4	ZSWIM7
chr15:60758792-60758912:60768261-60768366|-|60748993|60760259	0.0	670	ENSG00000128915.12_6	ICE2
chr2:232655656-232655883:232658972-232659061|+|232653442|232656442	nan	0	ENSG00000144524.17_2	COPS7B
chr18:1358726-1358895:1368485-1368598|-|1276078|1361143	0.0	7	ENSG00000132204.14_5	LINC00470
chr3:176797614-176797733:176808938-176808968|-|176782810|176816253	0.291428571429	175	ENSG00000177565.16_3	TBL1XR1
chr18:5400495-5400594:5400967-5401042|-|5398142|5406775	nan	0	ENSG00000082397.17_7	EPB41L3
chr18:43307225-43307383:43310979-43311169|+|43304978|43314238	nan	0	ENSG00000141469.18_6	SLC14A1
chr15:66201371-66201459:66206074-66206311|-|66198479|66202077	0.0	101	ENSG00000157890.17_3	MEGF11
chr2:145429168-145429231:145525664-145525847|+|145425675|145523936	nan	0	ENSG00000226674.11_7	TEX41
chrX:149880813-149880837:149882950-149883001|+|149867773|149887096	1.0	977	ENSG00000063601.17_5	MTMR1
chr1:182778319-182778442:182781290-182781348|+|182775367|182778977	1.0	100	ENSG00000135838.13_2	NPL
chrX:135242632-135242728:135288565-135288747|+|135229787|135252065	1.0	27	ENSG00000022267.18_6	FHL1
chr10:106959756-106959874:106970894-106971008|+|106937931|106960877	nan	0	ENSG00000156395.13_3	SORCS3
chr4:56471441-56471516:56473603-56473633|-|56466742|56473464	0.0	296	ENSG00000109255.11_4	NMU
chr11:31562977-31563023:31602229-31602347|+|31561330|31616316	0.470588235294	34	ENSG00000109911.19_5	ELP4
chrX:3740113-3740326:3743128-3743272|-|3736744|3740414	0.0	7	ENSG00000285756.2_2	BX890604.2
chr2:171200326-171200350:171200681-171200808|-|171200166|171201308	1.0	11	ENSG00000231898.9_6	MYO3B-AS1
chr2:120313612-120313815:120314583-120314981|+|120306761|120317264	0.928571428571	84	ENSG00000163075.13_4	CFAP221
