ID	PSI	count
chr14:21841496-21841589|-|21840203|21840129	1	5102
chr12:42836442-42836543|+|42839774|42839792	0.653481012658	632
chr14:19923012-19923123|-|19921738|19921705	1	1610
chr10:105107151-105107207|-|105107076|105107054	1	75
chr6:7389434-7389635|-|7387429|7387408	1	7
chr14:92572872-92572918|-|92562481|92562478	1	44
chr12:2757640-2757673|+|2760739|2760805	0	32
chr1:219352488-219352588|+|219352722|219352741	0.978873239437	142
chr2:242097221-242097277|+|242097880|242097898	0.0082482325216	2546
chr12:120636656-120636803|-|120636573|120636434	1	52
chr12:53819238-53819271|+|53819469|53819472	0.666666666667	6
chr12:112691846-112691966|-|112690362|112690332	1	166
chr6:31616453-31616528|-|31615621|31615603	1	200
chr5:78936927-78937019|+|78938654|78938666	0.680291970803	685
chr21:47545179-47545225|+|47545330|47545378	0	338
chr22:29668368-29668420|+|29669726|29669729	0.0574340610151	14521
chr16:90094043-90094130|+|90097583|90097706	0.397877984085	377
chr3:9854931-9855029|+|9859328|9859373	1	107
chr9:130885212-130885413|-|130884925|130884758	1	19
chr11:9025308-9025548|-|9009829|9009808	1	237
chr19:49950280-49950356|-|49949951|49949852	1	1832
chr2:232663568-232663674|+|232665849|232665864	1	504
chr9:42468742-42469103|+|42469568|42469604	1	1
chr12:109898440-109898610|-|109895989|109895883	1	4
chr11:57556508-57556627|+|57558963|57558965	0.367346938776	49
chr12:109898440-109898610|-|109895989|109895886	1	4
chr15:74277658-74277854|-|74277212|74277209	1	79
chr21:33073307-33073484|-|33069063|33069049	1	1365
chr7:44259658-44259893|-|44259121|44257334	1	84
chr17:79817056-79817263|-|79813462|79813381	1	9021
chr9:134015935-134016097|+|134019666|134019954	0.989572471324	959
chr16:2028149-2028221|+|2028313|2028315	0.978571428571	1260
chr22:27059279-27059362|+|27061420|27061494	0	13
chr11:46389201-46389297|+|46389551|46389554	0.575362318841	1380
chr11:62622604-62622688|-|62622410|62622023	1	2832
chr20:44984440-44984513|-|44983918|44983817	1	136
chr5:37180118-37180285|-|37179545|37179542	1	243
chr9:33541144-33541225|+|33543179|33543182	0.912663755459	458
chr19:17450242-17450408|+|17451852|17451915	0.936733886912	2529
chr1:31440013-31440157|-|31439125|31439044	1	2209
chr16:5145375-5145515|-|5141939|5141896	1	27
chr3:53274266-53274364|-|53269190|53269080	1	4172
chr7:98972352-98972404|+|98974960|98974980	0.3	160
chr19:39439206-39439318|-|39437245|39437207	1	34
chr22:24219228-24219358|+|24219571|24219907	0.275362318841	69
chr12:6658641-6658650|-|6658015|6657991	1	14
chr19:55967002-55967212|-|55966745|55966697	1	316
chr7:100479673-100479862|+|100480078|100480385	0.730897009967	301
chr8:38124784-38124909|-|38123829|38123787	1	171
chr21:38605662-38605743|-|38604946|38604752	1	83
chr15:41044183-41044376|-|41043868|41043767	1	22
chr3:11057357-11057419|+|11058744|11058805	1	54
chr5:137241894-137242123|+|137243430|137243496	1	43
