ID	PSI	count
chr2:179401060-179401189:179402087-179402174|+|179400555|179402330	1	2
chr12:15837130-15837236:15866199-15866259|-|15835906|15942094	0.941176470588	34
chr9:147900-148040:151304-151427|-|146158|152033	1	24
chr17:76623999-76624117:76624399-76624520|-|76620397|76626113	0	20
chr1:151060945-151060993:151062881-151063049|+|151060773|151065667	0.0361757105943	387
chr10:13690619-13690768:13694407-13694489|+|13690230|13694845	0.3375	80
chr11:9413744-9413867:9424836-9424918|+|9406394|9430032	0.00106866150147	3743
chr1:156340972-156341045:156344397-156344520|+|156339227|156347091	1	3
chr4:114468799-114468872:114469812-114469885|-|114458599|114473186	0.964509394572	479
chr9:134379575-134379727:134381500-134381607|+|134378460|134381789	0.129979035639	477
chr12:76450353-76450452:76453577-76453658|-|76449941|76453917	1	12492
chr17:15584364-15584536:15586167-15586278|-|15584267|15586349	0.30612244898	49
chr12:54737008-54737100:54739243-54739299|+|54736071|54741550	0.335664335664	143
chr2:171200326-171200350:171200681-171200808|-|171200166|171201308	1	11
chr8:129060693-129060855:129103492-129103599|+|129001537|129108763	0	18
chr12:74715314-74715474:74733444-74733575|-|74700449|74771342	0	18
chr1:110955660-110955716:110955942-110956032|+|110954915|110958630	1	64
chr2:145448605-145448677:145523936-145524097|+|145425675|145525664	0	1
chr22:38535988-38536176:38539111-38539295|-|38531091|38541444	0	2
chr3:48960180-48960244:48982568-48982614|+|48956431|48999044	1	43
chr7:30624038-30624069:30624326-30624424|-|30618930|30624945	1	57
chr7:101559394-101559505:101671377-101671425|+|101459373|101713618	1	25
chr20:34700347-34700402:34701614-34701721|+|34680735|34761685	0	11
chr20:10105829-10105939:10170704-10170800|-|10085042|10177465	0	6
chr15:83357739-83357864:83357909-83357984|-|83357583|83358129	1	150
chr2:171200681-171200808:171200850-171200891|-|171200166|171201308	0	11
chr17:33434384-33434466:33445519-33445638|-|33434141|33446129	0.40625	64
chr7:130644627-130644729:130663266-130663287|-|130630594|130668811	0	13
chr3:52019222-52019287:52019416-52019481|+|52018174|52019867	0	13
chr12:72274248-72274387:72278590-72278801|+|72266783|72287001	0.940092165899	217
chr2:179448250-179448375:179455865-179456041|+|179393540|179462322	0.161290322581	31
chr16:67778190-67778358:67805936-67805989|-|67771938|67839330	0.310344827586	29
chr15:64658172-64658274:64668941-64669104|-|64592922|64673156	1	45
chr20:39802763-39802951:39809143-39809304|+|39802651|39811570	1	14
chr2:31348019-31348119:31355495-31355578|-|31215873|31360823	0	2
chr1:231696873-231697001:231752389-231752652|+|231678357|231829571	0.65625	32
chr17:45110643-45110747:45131483-45131579|-|45099087|45133825	0.107913669065	139
chr2:20990014-20990158:21001051-21001225|-|20974739|21022796	0.173913043478	23
chr1:55344732-55344992:55345421-55345478|-|55341720|55349290	0.503225806452	155
chr15:95800254-95800431:95803699-95803803|-|95800005|95831530	1	3
chr12:69047891-69048032:69050085-69050229|+|69045831|69050880	0.854663774403	461
chr7:94218000-94218044:94228086-94228275|-|94214827|94229008	1	8
chr21:40717755-40717884:40719304-40719404|-|40717200|40720217	0.447488584475	438
chr11:61103311-61103409:61103675-61103862|+|61102203|61105412	0.90990990991	111
chr2:170554402-170554492:170591522-170592737|+|170554041|170597894	0.175438596491	114
chr5:82815167-82818128:82832825-82838087|+|82808215|82841355	0	384
chr9:2170418-2170472:2181570-2181676|+|2161903|2182140	0.0368098159509	326
chr2:203789079-203789138:203806582-203806703|+|203782766|203807462	0	19
chr8:30562163-30562381:30564506-30564621|-|30560757|30565588	0.485294117647	68
chr2:179400458-179400555:179448250-179448375|+|179393540|179462322	0	5
chr11:71773634-71773732:71779124-71779277|-|71747021|71780887	1	13
chr5:92831762-92831809:92870890-92870949|-|92774447|92889466	1	3
chr21:40719172-40719218:40719304-40719409|-|40717200|40720217	1	735
chr5:76385170-76385228:76394479-76394572|+|76383444|76401480	0	3
