ID	PSI	count	GeneID	geneSymbol
chr6:96908361-96908488|-|96846910|96969516	nan	0	ENSG00000233797.2_6	UFL1-AS1
chr2:231282305-231282380|+|231281043|231307651	1.0	42	ENSG00000067066.17_5	SP100
chr11:104442803-104442950|-|104439859|104443284	nan	0	ENSG00000256422.6_7	LINC02552
chr12:51634438-51634554|+|51634245|51634654	0.00175932441942	2842	ENSG00000183283.16_3	DAZAP2
chrX:100486573-100486753|+|100475135|100490848	1.0	4	ENSG00000102385.12_2	DRP2
chr16:712672-713064|+|712331|715678	0.219178082192	73	ENSG00000161996.19_4	WDR90
chr20:50406560-50408891|-|50405680|50418817	1.0	16	ENSG00000101115.13_3	SALL4
chr16:72049582-72049757|+|72048571|72050922	0.0481012658228	395	ENSG00000102967.12_4	DHODH
chr2:59665033-59665194|+|59662498|59667764	nan	0	ENSG00000231815.2_4	AC007179.1
chr2:44586635-44586889|-|44573529|44588518	0.104166666667	720	ENSG00000138078.15_4	PREPL
chr5:74685416-74685512|-|74681859|74696029	1.0	337	ENSG00000113163.16_4	COL4A3BP
chr12:27130884-27131027|-|27129290|27132716	0.0123915737299	807	ENSG00000064115.11_5	TM7SF3
chr1:67993060-67993120|+|67988081|67995301	0.0	15	ENSG00000235200.3_5	LINC01702
chr3:181419187-181419237|+|181417671|181419948	nan	0	ENSG00000242808.9_5	SOX2-OT
chr8:50105665-50105754|+|50081368|50137496	nan	0	ENSG00000253474.2_7	AC044893.1
chr12:107361060-107361179|+|107360958|107364882	0.0184528034067	1409	ENSG00000151135.10_3	TMEM263
chr2:106006563-106006684|-|106002997|106013103	0.0	211	ENSG00000115641.19_5	FHL2
chr13:106382663-106382807|+|106359978|106413611	nan	0	ENSG00000226620.8_7	LINC00343
chr2:241468453-241468926|-|241465266|241492330	0.339622641509	159	ENSG00000144504.15_4	ANKMY1
chr7:76099616-76099736|+|76093026|76109737	0.142857142857	112	ENSG00000091073.19_3	DTX2
chr22:40343096-40343188|+|40322857|40351822	nan	0	ENSG00000100351.16_3	GRAP2
chr5:43240361-43240492|+|43192513|43245183	0.714285714286	28	ENSG00000177453.7_4	NIM1K
chr7:112126406-112126494|+|112124998|112126977	0.539682539683	63	ENSG00000181016.9_4	LSMEM1
chr16:25082060-25082136|+|25078967|25084567	0.4	15	ENSG00000262155.2_6	LINC02175
chr17:48191720-48191804|-|48191670|48192927	0.2	40	ENSG00000167100.14_5	SAMD14
chr12:95425124-95425264|-|95422285|95434251	0.0	167	ENSG00000120798.17_5	NR2C1
chr6:30582325-30582379|-|30577732|30584254	0.370767494357	1772	ENSG00000204569.10_4	PPP1R10
chr4:100815111-100815157|-|100813191|100815491	0.482789055605	1133	ENSG00000109270.13_3	LAMTOR3
chr2:201822752-201822856|-|201822267|201824114	0.965610859729	1105	ENSG00000115942.9_3	ORC2
chr22:32766885-32766928|-|32764554|32773247	0.604166666667	48	ENSG00000205853.11_6	RFPL3S
chr7:2699573-2699674|+|2698649|2701301	0.0178173719376	1347	ENSG00000136295.15_3	TTYH3
chr4:79473338-79473499|+|79473013|79475589	0.0	102	ENSG00000138772.13_5	ANXA3
chr10:79800372-79800505|+|79797062|79808738	0.93984962406	133	ENSG00000138326.20_6	RPS24
chr9:138393914-138394112|+|138393819|138395387	0.0285230160971	3541	ENSG00000122140.11_6	MRPS2
chr17:60631023-60631116|+|60629758|60637376	0.923605150215	1165	ENSG00000146872.17_5	TLK2
chr2:55556557-55556655|+|55541387|55572492	0.0	39	ENSG00000240401.9_7	AC012358.3
chr3:185245271-185245373|-|185241948|185251358	1.0	7	ENSG00000163898.10_3	LIPH
chr15:24502263-24502404|+|24490349|24519937	0.222222222222	9	ENSG00000259905.7_4	PWRN1
chr12:78570218-78570239|+|78569207|78570920	nan	0	ENSG00000067798.16_5	NAV3
chr19:13041242-13041563|-|13041155|13044363	0.507042253521	71	ENSG00000179115.11_3	FARSA
chr19:4297982-4298342|-|4294813|4302336	1.0	10	ENSG00000167664.8_4	TMIGD2
chr3:107586157-107586424|-|107576049|107591814	0.0	4	ENSG00000241469.9_7	LINC00635
chr2:86074983-86075504|-|86073686|86088303	1.0	2	ENSG00000115525.18_6	ST3GAL5
chr3:195456518-195456610|+|195435712|195461626	0.0	5	ENSG00000242086.8_6	MUC20-OT1
chr11:26584662-26584812|-|26582772|26586711	0.0	1	ENSG00000169550.14_5	MUC15
chr12:120510314-120510533|+|120509605|120518690	0.730769230769	52	ENSG00000135127.11_5	BICDL1
chr15:71186910-71187008|+|71185979|71188187	0.0	224	ENSG00000137821.11_6	LRRC49
chr1:21106837-21107033|-|21106404|21113687	0.756728778468	966	ENSG00000127483.18_4	HP1BP3
chr19:41622082-41622264|+|41620397|41622359	0.0	4	ENSG00000197446.9_4	CYP2F1
chr2:233394648-233394849|+|233393366|233396061	1.0	2	ENSG00000135902.10_4	CHRND
chr17:62238160-62238293|-|62232327|62248459	1.0	427	ENSG00000136478.7_4	TEX2
chr5:121406385-121406463|-|121406284|121409707	0.0414507772021	193	ENSG00000113083.14_5	LOX
chr4:907394-907456|-|891946|925830	1.0	12	ENSG00000178950.17_5	GAK
chr8:21640096-21640411|-|21632567|21645631	1.0	1	ENSG00000168546.11_3	GFRA2
chr6:30852314-30852487|+|30848902|30853401	nan	0	ENSG00000204580.13_3	DDR1
chr10:55949123-55949144|-|55945028|55955442	0.0	1	ENSG00000150275.18_7	PCDH15
chr17:70814008-70814074|-|70732858|70845772	0.0861423220974	267	ENSG00000133195.11_3	SLC39A11
chrX:110655197-110655225|-|110653648|110655365	nan	0	ENSG00000077279.18_5	DCX
chr19:38860085-38860264|+|38858777|38860611	0.214285714286	14	ENSG00000099338.23_6	CATSPERG
chr3:125934260-125934540|+|125933704|125964244	nan	0	ENSG00000287232.1_1	AC079848.2
chr4:6611123-6611301|+|6611025|6611524	0.0193548387097	310	ENSG00000013288.8_3	MAN2B2
chr3:42572351-42572450|-|42570150|42573512	0.487179487179	78	ENSG00000232354.8_7	VIPR1-AS1
chr19:6044203-6044293|-|6042134|6047417	1.0	141	ENSG00000087903.13_5	RFX2
chr6:99382637-99382755|-|99375698|99395681	0.622905027933	358	ENSG00000112234.9_3	FBXL4
chr3:44672305-44672438|+|44671036|44672553	0.0829875518672	241	ENSG00000186448.15_5	ZNF197
chr11:66612970-66613033|+|66612708|66613330	0.741504854369	824	ENSG00000173653.7_3	RCE1
chr2:74691622-74691849|-|74690458|74692440	0.0	23	ENSG00000115275.13_6	MOGS
chr19:41264688-41264774|+|41263409|41265335	0.00290878869728	4813	ENSG00000077312.9_5	SNRPA
chr15:45545397-45545494|+|45544476|45545629	1.0	17	ENSG00000137860.12_3	SLC28A2
chr20:4162735-4163495|+|4162623|4164140	1.0	214	ENSG00000088826.18_4	SMOX
chr7:102724476-102724509|+|102724277|102727076	0.0246376811594	690	ENSG00000170632.14_4	ARMC10
chr3:135974966-135975112|+|135974817|135975396	0.0112422709387	1779	ENSG00000114054.14_4	PCCB
chr7:141441548-141441592|+|141438990|141441968	0.00720975675494	14841	ENSG00000106028.11_6	SSBP1
chr3:186563345-186563396|+|186560538|186570839	1.0	5	ENSG00000181092.10_3	ADIPOQ
chr16:74694829-74695349|-|74686020|74698521	0.988593155894	526	ENSG00000168411.14_4	RFWD3
chr8:112198622-112198708|-|112195964|112248310	0.0	61	ENSG00000253103.2_6	LINC01609
chrX:117975777-117975834|+|117973738|117979203	1.0	14	ENSG00000203650.9_6	LINC01285
chr19:32501329-32501462|-|32458539|32562761	nan	0	ENSG00000267489.5_7	LINC01837
chr3:122172716-122172848|-|122170911|122180070	0.987704918033	1220	ENSG00000114030.13_5	KPNA1
chr2:119702368-119702501|+|119699973|119726735	nan	0	ENSG00000019169.10_3	MARCO
chr4:151199004-151199156|-|151186964|151203601	0.977272727273	792	ENSG00000198589.13_7	LRBA
chr2:161288878-161288988|-|161223902|161349799	0.327974276527	311	ENSG00000153250.20_4	RBMS1
chr11:94010122-94010275|+|93971443|94011930	1.0	3	ENSG00000250519.7_6	AP002784.1
chr6:166744872-166744895|-|166743735|166755906	0.159484673478	2251	ENSG00000198818.10_3	SFT2D1
chr10:74776603-74776657|-|74774047|74790028	0.982843137255	408	ENSG00000122884.12_2	P4HA1
chr16:16271308-16271483|-|16269843|16272654	0.916666666667	24	ENSG00000091262.15_2	ABCC6
chr20:1615912-1616245|-|1610952|1616833	0.0	1	ENSG00000089012.14_3	SIRPG
chr8:101661501-101661576|-|101648239|101669951	0.0	9	ENSG00000174226.9_3	SNX31
chr11:47776079-47776216|-|47774654|47786821	0.973236009732	1233	ENSG00000109920.12_3	FNBP4
chr5:148443633-148443737|+|148443237|148443812	nan	0	ENSG00000250072.6_6	SH3TC2-DT
chr17:20859506-20859666|+|20841973|20859946	1.0	9	ENSG00000233098.9_8	CCDC144NL-AS1
chr1:205317503-205317718|-|205312921|205325660	0.0	1	ENSG00000162873.14_6	KLHDC8A
chr1:231480368-231480460|+|231475614|231483542	0.0800288392213	1387	ENSG00000010072.16_4	SPRTN
chr17:73145185-73145280|-|73144766|73150436	0.00872662511131	5615	ENSG00000189159.16_7	JPT1
chr1:217112923-217113015|-|217038520|217173594	0.0	3	ENSG00000196482.17_6	ESRRG
chr2:172563056-172563074|+|172549404|172563796	0.0262257696693	1754	ENSG00000077380.15_4	DYNC1I2
chr11:45554198-45554430|-|45553167|45554541	0.0	126	ENSG00000254746.6_7	AC103855.2
chr3:194447455-194447577|+|194435911|194447930	nan	0	ENSG00000233987.2_3	AC106706.1
chr13:98634308-98634397|+|98629040|98634756	0.00296088514882	6417	ENSG00000065150.20_5	IPO5
chr3:129182402-129182469|+|129170841|129188184	1.0	9	ENSG00000163913.11_6	IFT122
chr1:41292309-41292366|+|41288074|41296755	0.478260869565	23	ENSG00000117013.17_5	KCNQ4
chr12:127229315-127229465|+|127211088|127229551	nan	0	ENSG00000189238.6_6	LINC00943
chr17:25972339-25972375|+|25969374|25972886	0.769230769231	13	ENSG00000168961.17_8	LGALS9
chr1:155034379-155034593|+|155033308|155034720	0.0236686390533	1183	ENSG00000143537.13_3	ADAM15
chr4:187511521-187511557|-|187510374|187516842	0.0513833992095	506	ENSG00000083857.14_5	FAT1
chr11:63988487-63988612|+|63988141|63990519	0.285714285714	28	ENSG00000149781.12_4	FERMT3
chr19:35752827-35752884|+|35749967|35757261	0.421686746988	83	ENSG00000105699.16_5	LSR
chr3:34592898-34593062|+|34450841|34598079	nan	0	ENSG00000226320.6_6	LINC01811
chr19:11039055-11039116|-|11038635|11039260	0.991689750693	722	ENSG00000130733.10_4	YIPF2
chr9:101631868-101631965|-|101631739|101632714	nan	0	ENSG00000267026.5_7	AL136084.2
chr5:141354368-141354520|+|141353307|141357867	0.593944099379	1288	ENSG00000013561.18_6	RNF14
chr21:47656137-47656240|+|47649180|47660747	0.745571658615	621	ENSG00000215424.10_7	MCM3AP-AS1
chr7:26594427-26594538|+|26591829|26594640	1.0	1	ENSG00000233760.2_6	AC004947.1
chr9:88016599-88016878|-|87987875|88017461	0.854166666667	96	ENSG00000285634.2_2	AL583827.1
chr17:58766292-58766407|+|58765556|58767046	0.952380952381	21	ENSG00000141376.22_6	BCAS3
chr17:79977385-79977570|-|79977257|79977733	0.0261842418472	4201	ENSG00000169689.15_6	CENPX
chr1:156202110-156202216|+|156195459|156203418	0.363228699552	223	ENSG00000160783.19_5	PMF1
chr5:1880179-1880257|-|1879946|1880838	0.666666666667	9	ENSG00000113430.10_4	IRX4
chr18:37292619-37292767|-|37115579|37331292	0.104508196721	488	ENSG00000267374.2_8	MIR924HG
chr17:70529449-70529511|-|70427365|70599241	1.0	36	ENSG00000227036.8_4	LINC00511
chr13:52125260-52125324|+|52124042|52126218	1.0	2	ENSG00000236778.8_8	INTS6-AS1
chr19:24231738-24231816|+|24229081|24232206	0.381093057607	677	ENSG00000268362.6_7	AC092279.1
chr6:35838057-35838271|-|35837678|35838710	0.990258751903	3285	ENSG00000096063.16_6	SRPK1
chr14:58961172-58961242|+|58958993|58962200	0.564516129032	62	ENSG00000100578.16_7	KIAA0586
chr2:224466859-224466935|-|224464014|224467002	0.5	2	ENSG00000171951.5_5	SCG2
chr2:179539828-179540004|+|179509228|179540719	0.454545454545	11	ENSG00000237298.10_7	TTN-AS1
chr5:176958953-176959132|-|176958522|176959443	0.0	166	ENSG00000146067.16_5	FAM193B
chr7:120604795-120604892|+|120595678|120606679	0.703170028818	694	ENSG00000071243.16_3	ING3
chr4:138450755-138452896|-|138449971|138453408	0.0	4	ENSG00000189184.11_2	PCDH18
chr16:8027830-8027900|-|7944397|8057146	1.0	5	ENSG00000260289.2_6	AC093515.1
chr17:4844371-4844452|+|4844288|4845635	0.980265518479	2787	ENSG00000108523.15_3	RNF167
chr5:139485880-139486046|-|139485347|139488057	0.205128205128	156	ENSG00000245146.7_6	MALINC1
chr10:90773099-90773124|+|90771838|90773875	1.0	103	ENSG00000026103.22_4	FAS
chr19:39597586-39597724|+|39592177|39600692	1.0	14	ENSG00000183760.10_6	ACP7
chr19:12404046-12404190|-|12386897|12405506	0.605839416058	137	ENSG00000197857.13_2	ZNF44
chr10:109618906-109618985|-|109614241|109660766	nan	0	ENSG00000229981.8_6	LINC01435
chr18:56378152-56378185|+|56377304|56381314	0.727659574468	235	ENSG00000172175.15_6	MALT1
chr12:48512264-48512360|+|48501977|48516549	0.368421052632	95	ENSG00000152556.17_8	PFKM
chr1:24857707-24857881|+|24841057|24861582	nan	0	ENSG00000117602.12_4	RCAN3
chr1:182429758-182429891|+|182429268|182440416	nan	0	ENSG00000121446.20_5	RGSL1
chr17:48541178-48541270|+|48540913|48541578	1.0	177	ENSG00000167107.12_3	ACSF2
chr12:132322739-132322872|+|132313198|132323156	1.0	35	ENSG00000198598.6_3	MMP17
chr17:7080148-7080220|-|7077779|7080299	1.0	57	ENSG00000141505.12_7	ASGR1
chr17:69130757-69130955|-|69128611|69133017	nan	0	ENSG00000260785.2_6	CASC17
chr1:94522156-94522378|-|94520871|94526092	nan	0	ENSG00000198691.13_4	ABCA4
chr8:62550880-62550922|-|62550562|62555446	0.986340762042	1391	ENSG00000198363.18_4	ASPH
chr12:81914964-81915029|+|81866388|81916104	1.0	3	ENSG00000258162.4_7	AC069228.1
chr6:121513520-121513688|-|121491673|121526220	0.376543209877	162	ENSG00000146350.14_6	TBC1D32
chr15:63353911-63353987|+|63353472|63354413	0.0665887850467	856	ENSG00000140416.21_7	TPM1
chr12:92819153-92819710|+|92815611|92822809	nan	0	ENSG00000257127.6_5	CLLU1
chr8:144125590-144125651|+|144124679|144126065	0.0849056603774	106	ENSG00000177335.11_3	C8orf31
chr8:28225965-28226082|-|28218699|28232778	0.0	54	ENSG00000186918.14_5	ZNF395
chr1:220749987-220750078|+|220702215|220752695	0.373879641485	781	ENSG00000116141.15_3	MARK1
chr2:175711607-175711685|-|175689246|175742567	0.954545454545	484	ENSG00000128656.14_4	CHN1
chr3:52325762-52325938|+|52325127|52326275	0.922535211268	142	ENSG00000168237.18_3	GLYCTK
chr17:76973485-76973555|-|76973296|76975905	0.0189393939394	528	ENSG00000108679.13_4	LGALS3BP
chr19:17062778-17063010|-|17058037|17068662	0.0	2	ENSG00000160111.13_3	CPAMD8
chr14:89303251-89303410|+|89291165|89305795	0.0332409972299	361	ENSG00000165533.18_5	TTC8
chr2:145815217-145815295|+|145780840|145828386	0.0	22	ENSG00000226674.11_7	TEX41
chr4:39460013-39460218|-|39459929|39460510	1.0	538	ENSG00000163682.16_4	RPL9
chr7:112339384-112339577|+|112280273|112397141	1.0	7	ENSG00000223646.2_7	AC002463.1
chr11:46642609-46642707|+|46639925|46665828	0.12030075188	266	ENSG00000175224.16_6	ATG13
chr4:91325074-91325170|+|91321280|91389384	0.0	135	ENSG00000184305.15_4	CCSER1
chr19:38314450-38314546|+|38310946|38316811	0.279069767442	129	ENSG00000267640.6_6	AC016582.3
chr3:106768643-106768749|-|106646841|106848734	0.0	90	ENSG00000242759.7_7	LINC00882
chr6:72023547-72023867|-|72020345|72024409	1.0	7	ENSG00000232295.7_8	AL589935.1
chr12:113663048-113663141|+|113659388|113664532	0.0	55	ENSG00000186815.12_5	TPCN1
chr2:204341798-204341879|-|204326648|204354306	0.0717299578059	237	ENSG00000173166.18_4	RAPH1
chr7:65551730-65551808|+|65551649|65552320	0.720833333333	240	ENSG00000126522.16_3	ASL
chr3:49932599-49932806|-|49929271|49932879	1.0	3	ENSG00000164078.13_4	MST1R
chr18:3348130-3348248|-|3347986|3358399	nan	0	ENSG00000259256.2_5	LINC01895
chrX:2841208-2841347|-|2840065|2843656	0.101694915254	59	ENSG00000006756.16_3	ARSD
chrX:73505749-73506005|-|73504783|73511592	0.176470588235	34	ENSG00000230590.11_6	FTX
chr19:51010830-51010956|-|51009829|51013542	0.61978021978	455	ENSG00000161677.11_3	JOSD2
chr1:150195511-150195620|-|150193063|150198939	0.751533742331	326	ENSG00000143401.15_6	ANP32E
chr11:47254777-47255025|+|47254510|47256123	0.140845070423	284	ENSG00000134574.11_2	DDB2
chr8:113316949-113317144|-|113314195|113318235	nan	0	ENSG00000164796.18_4	CSMD3
chr3:162901852-162901921|-|162900716|162904855	0.0	4	ENSG00000241369.6_5	LINC01192
chr6:49574441-49574634|-|49573543|49574862	nan	0	ENSG00000112077.16_3	RHAG
chr8:42025714-42025767|+|42025328|42026478	0.0907590759076	606	ENSG00000070718.12_5	AP3M2
chr12:30951078-30951249|+|30950144|30952846	0.75	4	ENSG00000285517.1_3	AC010198.2
chr15:85189920-85190254|-|85189579|85191120	0.00118133490845	1693	ENSG00000177082.12_5	WDR73
chr18:53263336-53263457|-|53254367|53298528	1.0	18	ENSG00000196628.17_6	TCF4
chr5:44777138-44777203|-|44746140|44808743	0.0	2	ENSG00000251141.6_6	MRPS30-DT
chr1:111858355-111858494|+|111858057|111860302	nan	0	ENSG00000134216.19_5	CHIA
chr2:201253945-201254006|+|201194203|201277033	1.0	745	ENSG00000196141.14_6	SPATS2L
chr5:10683640-10683683|-|10681281|10748286	0.992481203008	1197	ENSG00000112977.15_3	DAP
chr11:93475128-93475307|+|93474894|93480462	0.130630630631	222	ENSG00000182919.14_2	C11orf54
chr2:62073893-62074131|-|62069495|62080993	0.122605363985	261	ENSG00000170264.13_3	FAM161A
chr16:2543597-2543707|+|2525171|2546034	0.0	341	ENSG00000162065.14_5	TBC1D24
chr15:76074920-76075000|+|76074728|76075160	nan	0	ENSG00000187812.12_5	AC019294.1
chr6:22110975-22111047|+|22056919|22191795	nan	0	ENSG00000272168.8_7	CASC15
chr11:10711811-10711916|-|10673729|10715082	nan	0	ENSG00000072952.18_5	MRVI1
