ID	PSI	count	GeneID	geneSymbol
chr10:47943064-47943127|+|47942084|47943487	1.0	4	ENSG00000152726.14	FAM21B
chr12:72274248-72274387|+|72266783|72278590	0.983439490446	785	ENSG00000121749.15_6	TBC1D15
chr19:45015694-45015730|-|45015213|45016074	nan	0	ENSG00000273777.4_3	CEACAM20
chr1:170010817-170010981|-|170008429|170015852	0.041018387553	707	ENSG00000075945.13_3	KIFAP3
chr2:179541927-179542014|-|179540722|179542347	0.833333333333	6	ENSG00000155657.26_4	TTN
chr1:102107338-102107405|+|102105259|102111809	nan	0	ENSG00000226715.4_5	LINC01709
chr3:175177832-175177963|+|175165160|175181188	0.0	2	ENSG00000177694.16_5	NAALADL2
chr4:140469172-140469273|-|140468203|140477251	0.0208494208494	1295	ENSG00000145391.13_3	SETD7
chr6:99382637-99382755|-|99375698|99395681	0.622905027933	358	ENSG00000112234.9_3	FBXL4
chr4:169428510-169428849|+|169418345|169432573	0.0	12	ENSG00000129116.19_5	PALLD
chr1:110925455-110925588|-|110924417|110931858	0.75	52	ENSG00000168679.18_5	SLC16A4
chr19:49693464-49693577|+|49692348|49693952	1.0	102	ENSG00000130529.16_5	TRPM4
chr12:27130884-27131027|-|27129290|27132716	0.0123915737299	807	ENSG00000064115.11_5	TM7SF3
chr12:130956294-130956883|-|130955288|130963456	0.0	2	ENSG00000060709.15_4	RIMBP2
chr13:38148708-38148789|-|38145595|38151889	nan	0	ENSG00000133110.15_4	POSTN
chr17:58766292-58766407|+|58765556|58767046	0.952380952381	21	ENSG00000141376.22_6	BCAS3
chr5:150668494-150668617|-|150668031|150672924	1.0	2	ENSG00000186334.9_3	SLC36A3
chr12:107361060-107361179|+|107360958|107364882	0.0184528034067	1409	ENSG00000151135.10_3	TMEM263
chr18:10801387-10801426|-|10800473|10803872	nan	0	ENSG00000154864.12_4	PIEZO2
chr18:6876129-6876207|+|6873774|6882135	0.967741935484	93	ENSG00000088756.12_3	ARHGAP28
chr11:44959105-44959164|-|44958903|44959757	1.0	556	ENSG00000175274.18_6	TP53I11
chr16:72574476-72574510|-|72557314|72589163	0.419475655431	267	ENSG00000261008.7_7	LINC01572
chr10:64104449-64104582|-|64101428|64112696	0.0	80	ENSG00000288011.1_1	AC024597.1
chrX:131203505-131203691|+|131202597|131205096	0.927881885292	1761	ENSG00000134602.16_3	STK26
chr7:158494938-158495039|-|158494629|158496340	0.346368715084	179	ENSG00000146918.19_3	NCAPG2
chrX:117521302-117521377|+|117512415|117526594	0.986132511556	649	ENSG00000131725.14_5	WDR44
chr17:77075570-77075719|+|77073946|77076288	0.973190348525	373	ENSG00000167280.16_3	ENGASE
chr12:86405577-86405680|-|86396256|86407458	nan	0	ENSG00000182050.13_3	MGAT4C
chrX:100650322-100650445|+|100646810|100666923	0.484076433121	157	ENSG00000257529.5_5	RPL36A-HNRNPH2
chr6:30582325-30582379|-|30577732|30584254	0.370767494357	1772	ENSG00000204569.10_4	PPP1R10
chr9:67021935-67022043|-|67019064|67026662	0.0	82	ENSG00000182021.10_6	AL591379.1
chr4:100815111-100815157|-|100813191|100815491	0.482789055605	1133	ENSG00000109270.13_3	LAMTOR3
chr2:201822752-201822856|-|201822267|201824114	0.965610859729	1105	ENSG00000115942.9_3	ORC2
chr7:131194994-131195090|-|131194344|131195586	0.409090909091	462	ENSG00000128567.17_3	PODXL
chr7:2699573-2699674|+|2698649|2701301	0.0178173719376	1347	ENSG00000136295.15_3	TTYH3
chr13:47289694-47289799|+|47286732|47297355	0.0854271356784	199	ENSG00000136141.15_4	LRCH1
chr18:23875158-23875278|+|23873495|23895192	0.666110183639	599	ENSG00000141384.12_3	TAF4B
chr4:1075206-1075255|-|1073476|1075354	1.0	18	ENSG00000178222.13_5	RNF212
chr12:64661318-64661463|-|64661068|64664315	0.0	3	ENSG00000185306.12_3	C12orf56
chr3:185245271-185245373|-|185241948|185251358	1.0	7	ENSG00000163898.10_3	LIPH
chr19:4297982-4298342|-|4294813|4302336	1.0	10	ENSG00000167664.8_4	TMIGD2
chr17:30183583-30183730|-|30180049|30183817	0.0344827586207	1769	ENSG00000172301.11_4	COPRS
chr20:30471823-30471905|+|30467700|30474998	0.0	2	ENSG00000131044.17_4	TTLL9
chr11:26584662-26584812|-|26582772|26586711	0.0	1	ENSG00000169550.14_5	MUC15
chr17:48687242-48687296|+|48685401|48692721	nan	0	ENSG00000006283.18_5	CACNA1G
chr7:137230645-137230708|-|137206712|137237114	0.0	3	ENSG00000157680.15_7	DGKI
chr13:73309097-73309143|+|73305525|73312099	0.874570446735	1164	ENSG00000136122.16_4	BORA
chr7:137607335-137607513|-|137600758|137612895	0.0202863961814	838	ENSG00000182158.15_3	CREB3L2
chr6:31910735-31910876|+|31907097|31911001	nan	0	ENSG00000244255.5_7	AL645922.1
chr5:121406385-121406463|-|121406284|121409707	0.0414507772021	193	ENSG00000113083.14_5	LOX
chr10:55949123-55949144|-|55945028|55955442	0.0	1	ENSG00000150275.18_7	PCDH15
chr1:110924273-110924417|-|110923765|110925455	0.764705882353	51	ENSG00000168679.18_5	SLC16A4
chr17:4762507-4762623|+|4736935|4781611	0.0982404692082	682	ENSG00000141503.17_5	MINK1
chr3:46851645-46851800|-|46851079|46852595	0.2	15	ENSG00000226074.4_5	PRSS44P
chr14:24976561-24976712|-|24975810|24977383	nan	0	ENSG00000092009.10_3	CMA1
chr13:95104860-95104916|-|95098015|95112344	1.0	1	ENSG00000080166.16_6	DCT
chr9:36222773-36222995|-|36220017|36223369	0.942812982998	647	ENSG00000159921.16_4	GNE
chr4:6611123-6611301|+|6611025|6611524	0.0193548387097	310	ENSG00000013288.8_3	MAN2B2
chr9:108365979-108366097|+|108363629|108366495	0.0738396624473	474	ENSG00000106692.14_5	FKTN
chr1:29527885-29528030|-|29527101|29528454	0.0556946182728	1598	ENSG00000116353.15_3	MECR
chr11:36619193-36619280|+|36616465|36631630	0.235294117647	34	ENSG00000166352.16_6	C11orf74
chr19:6044203-6044293|-|6042134|6047417	1.0	141	ENSG00000087903.13_5	RFX2
chr2:59665033-59665194|+|59662498|59667764	nan	0	ENSG00000231815.2_4	AC007179.1
chr3:44672305-44672438|+|44671036|44672553	0.0829875518672	241	ENSG00000186448.15_5	ZNF197
chr11:85734458-85734584|-|85733512|85737333	0.00913838120104	1532	ENSG00000073921.18_5	PICALM
chr7:140159921-140160043|-|140159736|140171682	0.00620067643743	1774	ENSG00000133606.11_7	MKRN1
chr19:41264688-41264774|+|41263409|41265335	0.00290878869728	4813	ENSG00000077312.9_5	SNRPA
chr10:14962378-14962443|-|14961831|14964979	0.162861491629	657	ENSG00000152457.18_6	DCLRE1C
chr15:45545397-45545494|+|45544476|45545629	1.0	17	ENSG00000137860.12_3	SLC28A2
chr8:59325857-59325930|+|59324028|59329408	0.149667405765	902	ENSG00000215114.9_3	UBXN2B
chr3:135974966-135975112|+|135974817|135975396	0.0112422709387	1779	ENSG00000114054.14_4	PCCB
chr6:56021684-56021747|-|56006781|56029220	1.0	1	ENSG00000124749.17_6	COL21A1
chr3:186563345-186563396|+|186560538|186570839	1.0	5	ENSG00000181092.10_3	ADIPOQ
chr17:12917755-12917813|-|12916592|12919084	1.0	2508	ENSG00000006744.19_5	ELAC2
chr9:116770623-116770659|+|116769719|116770756	0.88	525	ENSG00000157657.14_4	ZNF618
chr11:18555876-18556000|-|18554034|18557952	0.753086419753	243	ENSG00000151116.17_3	UEVLD
chr1:247682476-247682709|+|247681910|247690241	nan	0	ENSG00000169224.13_5	GCSAML
chr8:12287858-12287960|-|12286623|12289590	nan	0	ENSG00000145002.12_4	FAM86B2
chr2:119702368-119702501|+|119699973|119726735	nan	0	ENSG00000019169.10_3	MARCO
chr14:51362281-51362440|+|51360476|51368546	0.0	505	ENSG00000131969.15_3	ABHD12B
chr15:101588698-101588862|+|101586357|101589848	1.0	9	ENSG00000154237.13_4	LRRK1
chr11:94010122-94010275|+|93971443|94011930	1.0	3	ENSG00000250519.7_6	AP002784.1
chr6:166744872-166744895|-|166743735|166755906	0.159484673478	2251	ENSG00000198818.10_3	SFT2D1
chr8:6296473-6296617|+|6293683|6299587	0.901960784314	357	ENSG00000147316.13_3	MCPH1
chr1:15886625-15886824|+|15886151|15888636	0.0335365853659	328	ENSG00000116138.13_3	DNAJC16
chr1:161692778-161692799|+|161692493|161693156	0.0	1	ENSG00000162746.14_3	FCRLB
chr5:427751-427805|+|424092|427921	0.670967741935	310	ENSG00000286169.1_1	AHRR
chr6:26458834-26458946|+|26458370|26459708	0.779392338177	757	ENSG00000112763.17_5	BTN2A1
chr2:175347600-175347646|-|175346715|175347737	0.0	70	ENSG00000163328.13_3	GPR155
chr5:79929695-79929811|-|79924984|79933701	0.975774770842	4582	ENSG00000228716.7_4	DHFR
chr6:41200100-41200242|+|41197860|41204223	nan	0	ENSG00000188056.11_2	TREML4
chr9:116855030-116855184|-|116854922|116855508	0.0	7	ENSG00000136883.14_4	KIF12
chr1:92266515-92266612|-|92263028|92327027	0.00831024930748	361	ENSG00000069702.11_4	TGFBR3
chr11:94337149-94337222|+|94335145|94340604	0.5	6	ENSG00000134627.12_4	PIWIL4
chr1:22336630-22336678|+|22336350|22338942	nan	0	ENSG00000142789.19_3	CELA3A
chr14:64655577-64655727|+|64655426|64656788	0.012987012987	231	ENSG00000054654.16_6	SYNE2
chr7:44558184-44558265|-|44556956|44560363	0.571428571429	7	ENSG00000015520.14_5	NPC1L1
chr12:12501112-12501182|-|12496348|12503011	0.123456790123	162	ENSG00000111261.14_5	MANSC1
chr16:19486079-19486196|+|19485598|19488761	0.192307692308	26	ENSG00000103534.17_5	TMC5
chr21:41255378-41255558|+|41239436|41270400	nan	0	ENSG00000183036.11_3	PCP4
chr15:83115332-83115511|+|83114428|83123290	1.0	24	ENSG00000275695.1_2	UBE2Q2P6
chr7:90950116-90950302|+|90945345|90963168	nan	0	ENSG00000243144.7_6	AC079760.2
chr17:7187292-7187408|+|7187181|7187535	0.964285714286	56	ENSG00000181856.14_2	SLC2A4
chr8:28357449-28357495|+|28351860|28360186	0.713692946058	241	ENSG00000104290.11_6	FZD3
chr3:113127952-113128169|-|113125888|113135371	1.0	124	ENSG00000206530.11_6	CFAP44
chr12:2996143-2996277|+|2994700|2997076	0.0505144995323	1069	ENSG00000171792.11_5	RHNO1
chr1:67993060-67993120|+|67988081|67995301	0.0	15	ENSG00000235200.3_5	LINC01702
chr8:141772466-141772487|-|141771361|141774332	0.13610888711	1249	ENSG00000169398.19_6	PTK2
chr1:156202110-156202216|+|156195459|156203418	0.363228699552	223	ENSG00000160783.19_5	PMF1
chr5:1880179-1880257|-|1879946|1880838	0.666666666667	9	ENSG00000113430.10_4	IRX4
chr18:2131497-2131541|-|2126378|2239792	0.0	1	ENSG00000263745.7_7	AP005230.1
chr3:48574177-48574253|-|48573896|48575930	0.0253164556962	237	ENSG00000114268.12_4	PFKFB4
chr6:170876313-170876593|+|170876097|170878699	0.0912280701754	855	ENSG00000112592.14_4	TBP
chr14:58961172-58961242|+|58958993|58962200	0.564516129032	62	ENSG00000100578.16_7	KIAA0586
chr5:117888047-117888244|-|117881844|117890741	nan	0	ENSG00000250891.2_6	LINC02208
chr19:19118155-19118256|-|19115455|19119125	0.0805422647528	1254	ENSG00000064607.17_3	SUGP2
chr11:10651552-10651618|-|10651258|10653537	nan	0	ENSG00000072952.18_5	MRVI1
chrY:25390136-25390208|+|25387824|25392532	nan	0	ENSG00000205944.11_4	DAZ2
chr16:8027830-8027900|-|7944397|8057146	1.0	5	ENSG00000260289.2_6	AC093515.1
chr17:4844371-4844452|+|4844288|4845635	0.980265518479	2787	ENSG00000108523.15_3	RNF167
chr20:2903852-2903931|+|2854406|2928627	0.991169977925	453	ENSG00000132670.20_4	PTPRA
chr10:119045204-119045310|-|119044982|119049696	0.0833333333333	1596	ENSG00000165650.12_3	PDZD8
chr9:17444194-17444244|+|17416187|17457521	0.0823529411765	170	ENSG00000044459.15_4	CNTLN
chr18:56378152-56378185|+|56377304|56381314	0.727659574468	235	ENSG00000172175.15_6	MALT1
chr17:74854348-74854437|+|74852346|74857557	0.0590909090909	220	ENSG00000267535.2_5	LINC00868
chr1:32699636-32699902|-|32697785|32700003	0.424242424242	33	ENSG00000220785.7_4	MTMR9LP
chr21:40265884-40266209|-|40252632|40273824	1.0	1	ENSG00000205622.11_8	AP001042.1
chr17:48541178-48541270|+|48540913|48541578	1.0	177	ENSG00000167107.12_3	ACSF2
chr7:6151427-6151582|+|6151005|6154953	0.111111111111	387	ENSG00000106346.11_3	USP42
chr17:69130757-69130955|-|69128611|69133017	nan	0	ENSG00000260785.2_6	CASC17
chr1:39925489-39925504|+|39924921|39926303	0.0499342969777	761	ENSG00000127603.26_7	MACF1
chr6:121513520-121513688|-|121491673|121526220	0.376543209877	162	ENSG00000146350.14_6	TBC1D32
chr12:95875902-95875986|+|95869954|95876990	0.0296117569642	4559	ENSG00000111142.14_4	METAP2
chr15:80259978-80260034|-|80253516|80263041	0.0	2	ENSG00000140379.8_3	BCL2A1
chr4:15042087-15042111|+|15034835|15054037	0.371428571429	105	ENSG00000137449.15_2	CPEB2
chr1:113093222-113093315|-|113084712|113098489	0.928327645051	293	ENSG00000007341.19_4	ST7L
chr1:118456041-118456121|-|118455305|118461218	0.0385487528345	441	ENSG00000196505.11_3	GDAP2
