ID	PSI	count	GeneID	geneSymbol
chr2:234198620-234198893|+|234198499|234198999	0.212880143113	559	ENSG00000085978.22_4	ATG16L1
chr12:123462906-123462988|+|123462871|123463116	0.825	40	ENSG00000111325.16_5	OGFOD2
chr16:28846720-28846869|+|28846598|28847079	0.0287739783153	2398	ENSG00000168488.18_5	ATXN2L
chr10:104156246-104156481|+|104156205|104156580	0.0159090909091	440	ENSG00000077150.20_5	NFKB2
chr7:99951106-99951517|+|99950995|99951635	0.853427895981	423	ENSG00000121716.20_5	PILRB
chr11:82984907-82984993|-|82984835|82985035	0.0263157894737	836	ENSG00000137500.9_4	CCDC90B
chr3:112299553-112300025|+|112299392|112300173	0.658213891951	907	ENSG00000138459.9_5	SLC35A5
chr4:155533319-155533542|-|155533169|155533587	nan	0	ENSG00000171557.16_4	FGG
chr12:94806205-94806292|-|94806093|94806367	0.899613899614	518	ENSG00000173588.14_7	CEP83
chr22:18910446-18910627|-|18910329|18910692	0.238095238095	21	ENSG00000100033.16_3	PRODH
chr7:128587110-128587283|+|128587076|128587589	0.5	14	ENSG00000128604.20_5	IRF5
chr16:29810068-29810295|+|29809913|29810505	0.0287141073658	3204	ENSG00000079616.12_2	KIF22
chr3:20387274-20387516|+|20387151|20387558	0.777777777778	9	ENSG00000231304.2_6	SGO1-AS1
chr8:144643274-144643539|+|144643171|144643593	0.0	9	ENSG00000104518.11_5	GSDMD
chr11:290781-291001|+|290677|291113	1.0	128	ENSG00000142102.15_8	PGGHG
chr19:36496339-36497324|-|36496234|36497573	1.0	15	ENSG00000181392.17_7	SYNE4
chr17:65733808-65733962|+|65733623|65734088	0.0322493953238	3721	ENSG00000130935.10_4	NOL11
chr15:101826006-101827112|-|101825930|101827215	0.509466437177	581	ENSG00000131876.17_4	SNRPA1
chr16:28847443-28848071|+|28847253|28848558	0.759689922481	1032	ENSG00000168488.18_5	ATXN2L
chr2:241535569-241535735|+|241535350|241535938	0.882716049383	162	ENSG00000142330.20_4	CAPN10
chr1:161089178-161089282|+|161088923|161089402	0.888888888889	117	ENSG00000158793.14_4	NIT1
chr17:79872406-79872479|-|79872169|79872578	0.291296625222	563	ENSG00000187531.14_5	SIRT7
chr12:121615015-121615099|+|121614949|121615249	0.0	13	ENSG00000089041.17_4	P2RX7
chr1:2977168-2977670|-|2977064|2977895	0.0	4	ENSG00000177133.11_6	PRDM16-DT
chr20:62572396-62572462|-|62572302|62572561	0.129846708747	1109	ENSG00000198276.16_4	UCKL1
chr17:73910373-73910910|-|73910202|73911013	0.403100775194	129	ENSG00000188878.19_5	FBF1
chr17:18545046-18545140|-|18544944|18545311	nan	0	ENSG00000189375.11_4	TBC1D28
chr17:43319257-43319446|+|43319213|43319513	0.75	36	ENSG00000184922.14_6	FMNL1
chr1:26228173-26230131|-|26227981|26230304	0.015368309486	9435	ENSG00000117632.23_4	STMN1
chr16:70501374-70501788|+|70500784|70501869	0.22695035461	141	ENSG00000157353.17_4	FCSK
chr2:85663717-85663933|+|85663588|85664152	nan	0	ENSG00000152292.17_6	SH2D6
chr17:7123516-7123782|+|7123440|7123995	0.09609375	1280	ENSG00000072778.20_3	ACADVL
chr1:155145104-155145213|-|155145040|155145368	0.029719881576	8782	ENSG00000163463.11_3	KRTCAP2
chr22:24134081-24135745|+|24133942|24135875	0.0338142470694	2218	ENSG00000099956.19_5	SMARCB1
chr12:1039052-1039138|-|1038984|1039310	0.425531914894	94	ENSG00000002016.17_4	RAD52
chr19:44271241-44271691|-|44270684|44271859	0.0	1	ENSG00000104783.14_5	KCNN4
chr11:2188715-2189095|-|2188664|2189163	nan	0	ENSG00000180176.14_2	TH
chr3:52020677-52020968|+|52020620|52021077	0.846153846154	39	ENSG00000114786.16_6	ABHD14A-ACY1
