ID	PSI	count	GeneID	geneSymbol
chr7:73101328-73101425:73105245-73105342|+|73101230|73106925	0.602564102564	156	ENSG00000071462.11_6	BUD23
chr5:131930560-131930736:131930795-131930893|+|131927726|131931264	0.0	5	ENSG00000283782.2_6	AC116366.3
chr6:52660979-52661112:52662383-52662435|-|52659064|52663978	nan	0	ENSG00000243955.6_3	GSTA1
chr2:173335701-173335833:173337501-173337618|+|173334108|173338782	1.0	263	ENSG00000091409.15_5	ITGA6
chr8:105010412-105010478:105025669-105025849|+|105001649|105026733	0.333333333333	3	ENSG00000176406.23_6	RIMS2
chr19:49852213-49852316:49854557-49854622|-|49852102|49858404	0.990028490028	702	ENSG00000074219.13_4	TEAD2
chr22:44358949-44359106:44359165-44359276|+|44351478|44360331	0.00282485875706	2124	ENSG00000100347.15_4	SAMM50
chr4:13371494-13371589:13373418-13373491|-|13370274|13378168	0.526436781609	435	ENSG00000157869.15_3	RAB28
chr16:11797525-11797606:11815169-11815291|-|11794420|11815432	0.266666666667	15	ENSG00000153066.12_3	TXNDC11
chr1:151060945-151060993:151062881-151063049|+|151060773|151065667	0.0361757105943	387	ENSG00000143458.12_3	GABPB2
chr14:23733831-23733880:23738132-23738172|+|23733443|23739071	1.0	20	ENSG00000215277.8_6	RNF212B
chr19:9644515-9644642:9645863-9645955|-|9643601|9646883	0.0	50	ENSG00000130818.12_4	ZNF426
chr10:12222393-12222488:12226492-12226531|-|12221131|12226887	0.497630331754	211	ENSG00000165609.13_4	NUDT5
chr4:114468799-114468872:114469812-114469885|-|114458599|114473186	0.964509394572	479	ENSG00000145349.17_6	CAMK2D
chr11:64457876-64457948:64460318-64460348|-|64453419|64465246	0.642857142857	14	ENSG00000110076.18_3	NRXN2
chr9:134379575-134379727:134381500-134381607|+|134378460|134381789	0.129979035639	477	ENSG00000130714.16_4	POMT1
chr5:71622438-71622568:71627084-71627202|+|71618091|71630844	0.0	13	ENSG00000049883.15_4	PTCD2
chr7:82478183-82478237:82497422-82497511|-|82476563|82508652	1.0	32	ENSG00000186472.20_3	PCLO
chr4:2709872-2709995:2717048-2717220|+|2702271|2717749	0.9	50	ENSG00000125386.15_5	FAM193A
chr22:47309229-47309342:47370185-47370295|+|47308084|47393529	0.0610687022901	393	ENSG00000054611.14_3	TBC1D22A
chr18:21881256-21881288:21882352-21882715|-|21860912|21883600	0.918367346939	49	ENSG00000141447.18_4	OSBPL1A
chr5:139239473-139239497:139244699-139244758|-|139235363|139245133	1.0	12	ENSG00000158458.20_4	NRG2
chr9:127736453-127736555:127737525-127737668|-|127734123|127738392	0.644171779141	163	ENSG00000173611.17_5	SCAI
chr1:185590592-185590718:185591858-185591971|-|185576533|185595623	0.0	3	ENSG00000228309.7_6	LINC01350
chr1:39463842-39463983:39466643-39466778|+|39457272|39469018	0.44	125	ENSG00000174574.16_4	AKIRIN1
chr1:41289768-41289930:41292309-41292366|+|41288074|41296755	0.810344827586	58	ENSG00000117013.17_5	KCNQ4
chr20:32620969-32621045:32652849-32652966|+|32619410|32659871	0.093799682035	629	ENSG00000125970.12_5	RALY
chr2:218694566-218694605:218695089-218695113|-|218686661|218696177	0.0	4	ENSG00000079308.19_7	TNS1
chr20:30642018-30642084:30657490-30657554|+|30640289|30659464	nan	0	ENSG00000101336.14_6	HCK
chr10:52503432-52503501:52504456-52504492|+|52502770|52504887	0.0	39	ENSG00000204147.10_4	ASAH2B
chr20:52583444-52583612:52591927-52591969|-|52574036|52601825	nan	0	ENSG00000064787.13_4	BCAS1
chr1:23650048-23650225:23660010-23660124|-|23648156|23664246	0.0	1381	ENSG00000125944.20_5	HNRNPR
chr10:7749163-7749196:7750984-7751154|+|7747145|7755143	0.0	4	ENSG00000151655.19_5	ITIH2
chr10:124643240-124643447:124644232-124644368|+|124641183|124647784	0.295857988166	169	ENSG00000255624.3_5	AC073585.1
chr12:85418429-85418550:85421676-85421801|-|85417178|85423496	0.121212121212	33	ENSG00000231738.11_3	TSPAN19
chr2:9554306-9554385:9558754-9558861|-|9552534|9560118	nan	0	ENSG00000119185.12_4	ITGB1BP1
chr1:53413680-53413752:53416426-53416558|+|53407525|53420411	0.404255319149	47	ENSG00000116171.18_5	SCP2
chr7:44687042-44687133:44687255-44687358|+|44685117|44695916	0.6875	16	ENSG00000105953.15_4	OGDH
chr16:88931260-88931348:88931429-88931536|-|88930787|88931970	nan	0	ENSG00000205022.9_2	PABPN1L
chr11:73429657-73429763:73429829-73429935|-|73427407|73431890	0.503012048193	1660	ENSG00000175582.19_2	RAB6A
chr20:10105829-10105939:10170704-10170800|-|10085042|10177465	0.0	6	ENSG00000227906.8_6	SNAP25-AS1
chrY:6846253-6846284:6863844-6863939|+|6780213|6889489	nan	0	ENSG00000092377.14_3	TBL1Y
chr7:128394315-128394509:128394582-128394776|+|128388858|128398924	0.66531881804	3215	ENSG00000128595.17_6	CALU
chr9:135141513-135141636:135144789-135144876|-|135140372|135145001	0.787401574803	127	ENSG00000107290.14_5	SETX
chr17:37948925-37949186:37985639-37985741|-|37947836|37988350	nan	0	ENSG00000161405.17_3	IKZF3
chr12:21242841-21242863:21272537-21272561|+|21229503|21279041	nan	0	ENSG00000257062.6_8	AC022335.1
chr6:131193510-131193678:131197813-131197915|-|131191521|131199243	0.326683291771	401	ENSG00000079819.19_6	EPB41L2
chr2:97378843-97378876:97399255-97399338|-|97377762|97400145	0.985632183908	696	ENSG00000114988.11_4	LMAN2L
chr13:73303063-73303231:73305418-73305525|+|73302145|73309097	0.632432432432	185	ENSG00000136122.16_4	BORA
chr3:121043339-121043432:121097562-121097733|+|121037387|121100139	0.0	103	ENSG00000145087.12_4	STXBP5L
chr6:110725976-110726153:110729536-110729645|-|110714545|110734493	1.0	4	ENSG00000203797.10_4	DDO
chr1:156450434-156450569:156450625-156450763|-|156449588|156452228	0.958208955224	335	ENSG00000116604.18_5	MEF2D
chrX:149984751-149984928:149996778-149998077|-|149984551|149999703	0.2125	80	ENSG00000102181.21_5	CD99L2
chr22:20976213-20976413:20976771-20976846|-|20976088|20976995	0.0	4	ENSG00000223553.6_5	SMPD4P1
chr20:54963367-54963562:54963742-54963840|-|54963258|54965611	0.943693693694	444	ENSG00000087586.17_2	AURKA
chr5:172858679-172858723:172866430-172866533|+|172851907|172870902	0.6	5	ENSG00000253968.2_6	AC016573.1
chr14:67857379-67857463:67859042-67859144|-|67855019|67859378	nan	0	ENSG00000100558.9_4	PLEK2
chr2:166020127-166020219:166020311-166020403|-|166019338|166020901	0.0	4	ENSG00000153253.18_6	SCN3A
chr1:101540831-101540950:101540950-101541272|+|101538386|101542918	0.458333333333	96	ENSG00000233184.7_7	AC093157.1
chr10:80810038-80810174:80814352-80814485|-|80808689|80825503	nan	0	ENSG00000224596.8_7	ZMIZ1-AS1
chr10:17203481-17203547:17204164-17204236|-|17202373|17210839	nan	0	ENSG00000107614.22_3	TRDMT1
chr1:40015461-40015568:40018789-40018816|-|40014623|40020020	0.685714285714	245	ENSG00000243970.3_4	PPIEL
chr17:41047393-41047510:41049703-41049935|-|41046651|41050649	1.0	9	ENSG00000213373.7_5	LINC00671
chr1:210126399-210126604:210139237-210139358|+|210126101|210186977	0.5	36	ENSG00000143469.19_6	SYT14
chr11:13347959-13348014:13371491-13371617|+|13331606|13375847	0.0	17	ENSG00000133794.17_3	ARNTL
chr1:67099762-67099846:67101626-67101698|+|67098777|67105459	nan	0	ENSG00000118473.22_5	SGIP1
chr1:20389976-20390095:20392516-20392622|+|20386185|20395365	nan	0	ENSG00000127472.11_3	PLA2G5
chr3:195309487-195309610:195309937-195310073|-|195306366|195310748	0.0	16	ENSG00000189058.9_5	APOD
chr11:61313502-61313727:61314006-61314131|-|61310051|61314648	1.0	4	ENSG00000011347.9_5	SYT7
chr18:22907369-22907412:22925215-22925311|-|22902151|22930870	0.666666666667	27	ENSG00000198795.11_4	ZNF521
chr16:10846466-10846535:10849577-10849610|+|10841133|10850546	0.3	110	ENSG00000103274.11_4	NUBP1
chr12:96387421-96387452:96387549-96387616|-|96387266|96387703	0.892857142857	28	ENSG00000084110.11_3	HAL
chr12:4654384-4654478:4654947-4654998|+|4653070|4655474	0.20297029703	202	ENSG00000111247.14_2	RAD51AP1
chr2:167120221-167120316:167133597-167133757|+|167108422|167151074	0.037037037037	27	ENSG00000236107.10_7	SCN1A-AS1
chr17:48697043-48697187:48699020-48699155|+|48696369|48701267	nan	0	ENSG00000006283.18_5	CACNA1G
chr1:240963940-240964021:240964754-240964808|-|240939513|240966203	0.307692307692	13	ENSG00000182901.16_4	RGS7
chr13:19999846-19999973:20000564-20000657|-|19999157|20004607	1.0	1	ENSG00000132958.17_4	TPTE2
chr2:96583761-96583790:96585639-96585668|-|96583675|96587354	0.0	265	ENSG00000174501.14_3	ANKRD36C
chr14:53637151-53637219:53654749-53654871|+|53636495|53656586	0.0	1	ENSG00000237356.7_8	AL365295.1
chr17:35995580-35995634:35999482-35999597|-|35993448|36002138	0.895238095238	630	ENSG00000278053.5_3	DDX52
chr5:137498818-137499033:137499275-137499332|-|137497835|137499775	0.0	1442	ENSG00000112983.17_3	BRD8
chrX:152091263-152091353:152097118-152097205|+|152090800|152100215	1.0	5	ENSG00000147394.18_3	ZNF185
chr1:55145563-55145718:55148328-55148467|+|55145112|55151930	nan	0	ENSG00000184313.20_5	MROH7
chr13:113036591-113036821:113047334-113047391|+|113033045|113052362	nan	0	ENSG00000153498.12_5	SPACA7
chr9:6251139-6251265:6252865-6252991|+|6250599|6253551	nan	0	ENSG00000137033.11_2	IL33
chrY:2926697-2926825:2947324-2947382|+|2871258|2965035	0.0	3	ENSG00000231535.7_6	LINC00278
chr2:70015185-70015273:70030524-70030647|+|70008706|70031664	0.985507246377	345	ENSG00000196975.16_3	ANXA4
chr6:152668193-152668370:152671302-152671470|-|152665362|152671752	0.0	1	ENSG00000131018.23_2	SYNE1
chr4:41120105-41120222:41140058-41140173|-|41102767|41145003	0.0	26	ENSG00000163697.17_5	APBB2
chr2:202195458-202195556:202207092-202207154|-|202195245|202208892	0.0	1	ENSG00000155749.12_6	FLACC1
chrX:48371222-48371240:48372514-48372529|+|48371107|48372627	0.841463414634	82	ENSG00000102312.22_5	PORCN
chr12:2789528-2789741:2791115-2791220|+|2788962|2791715	0.0	3	ENSG00000151067.21_4	CACNA1C
chr12:110403564-110403570:110405118-110405124|-|110403382|110405262	0.0	16	ENSG00000139436.21_5	GIT2
chr8:100519364-100519431:100519997-100520139|+|100515178|100523331	0.864406779661	236	ENSG00000132549.18_6	VPS13B
chr8:30562163-30562381:30564506-30564621|-|30560757|30565588	0.485294117647	68	ENSG00000104687.14_5	GSR
chr16:67233853-67233904:67234094-67234264|+|67233659|67234353	nan	0	ENSG00000102890.15_3	ELMO3
chr1:110924273-110924417:110925455-110925588|-|110923765|110931858	0.48	25	ENSG00000168679.18_5	SLC16A4
chr11:73528867-73528992:73534057-73534115|+|73519395|73536752	0.830963665087	633	ENSG00000175581.13_3	MRPL48
chr4:84231874-84232043:84234266-84234440|-|84231231|84240496	nan	0	ENSG00000173083.15_3	HPSE
chr10:105099258-105099526:105104780-105104889|-|105093709|105106994	0.971940763835	1283	ENSG00000156374.16_5	PCGF6
